| Economy | HAITI |
| GDP - real growth rate: | 1% (2015 est.) |
| GDP - real growth rate: | 2.8% (2014 est.) |
| GDP - real growth rate: | 4.2% (2013 est.) |
| GDP - per capita (PPP): | $1,800 (2015 est.) |
| GDP - per capita (PPP): | $1,800 (2014 est.) |
| GDP - per capita (PPP): | $1,700 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 22.1% of GDP (2015 est.) |
| Gross national saving: | 14% of GDP (2014 est.) |
| Gross national saving: | 14.5% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 97.5% |
| GDP - composition, by end use: | government consumption: 0% |
| GDP - composition, by end use: | investment in fixed capital: 30.7% |
| GDP - composition, by end use: | investment in inventories: -5.3% |
| GDP - composition, by end use: | exports of goods and services: 14.5% |
| GDP - composition, by end use: | imports of goods and services: -42.7% |
| GDP - composition, by end use: | note: figure for household consumption also includes government consumption (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 22.2% |
| GDP - composition, by sector of origin: | industry: 20.4% |
| GDP - composition, by sector of origin: | services: 57.4% (2015 est.) |
| Agriculture - products: | coffee, mangoes, cocoa, sugarcane, rice, corn, sorghum; wood, vetiver |
| Industries: | textiles, sugar refining, flour milling, cement, light assembly using imported parts |
| Industrial production growth rate: | 3.2% (2015 est.) |
| Labor force: | 4.594 million |
| Labor force: | note: shortage of skilled labor, unskilled labor abundant (2014 est.) |
| Labor force - by occupation: | agriculture: 38.1% |
| Labor force - by occupation: | industry: 11.5% |
| Labor force - by occupation: | services: 50.4% (2010) |
| Unemployment rate: | 40.6% (2010 est.) |
| Unemployment rate: | note: widespread unemployment and underemployment; more than two-thirds of the labor force do not have formal jobs |
| Population below poverty line: | 58.5% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 0.7% |
| Household income or consumption by percentage share: | highest 10%: 47.7% (2001) |
| Distribution of family income - Gini index: | 60.8 (2012) |
| Distribution of family income - Gini index: | 59.2 (2001) |
| Budget: | revenues: $1.818 billion |
| Budget: | expenditures: $2.059 billion (2015 est.) |
| Taxes and other revenues: | 21.1% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2.8% of GDP (2015 est.) |
| Public debt: | 26.5% of GDP (2015 est.) |
| Public debt: | 26.6% of GDP (2014 est.) |
| Fiscal year: | 1 October - 30 September |
| Inflation rate (consumer prices): | 9% (2015 est.) |
| Inflation rate (consumer prices): | 4.6% (2014 est.) |
| Commercial bank prime lending rate: | 12.9% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 10.77% (31 December 2014 est.) |
| Stock of narrow money: | $1.073 billion (31 December 2015 est.) |
| Stock of narrow money: | $1.235 billion (31 December 2014 est.) |
| Stock of broad money: | $3.818 billion (31 December 2015 est.) |
| Stock of broad money: | $3.793 billion (31 December 2014 est.) |
| Stock of domestic credit: | $2.404 billion (31 December 2015 est.) |
| Stock of domestic credit: | $2.425 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$206 million (2015 est.) |
| Current account balance: | -$551 million (2014 est.) |
| Exports: | $1.029 billion (2015 est.) |
| Exports: | $960.9 million (2014 est.) |
| Exports - commodities: | apparel, manufactures, oils, cocoa, mangoes, coffee |
| Exports - partners: | US 85.3% (2015) |
| Imports: | $3.445 billion (2015 est.) |
| Imports: | $3.666 billion (2014 est.) |
| Imports - commodities: | food, manufactured goods, machinery and transport equipment, fuels, raw materials |
| Imports - partners: | Dominican Republic 35.3%, US 24.5%, Netherlands Antilles 9.4%, China 9.4% (2015) |
| Reserves of foreign exchange and gold: | $1.919 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $1.968 billion (31 December 2014 est.) |
| Debt - external: | $1.969 billion (31 December 2015 est.) |
| Debt - external: | $1.937 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $1.269 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $1.16 billion (31 December 2014 est.) |
| Exchange rates: | gourdes (HTG) per US dollar - |
| Exchange rates: | 50.71 (2015 est.) |
| Exchange rates: | 45.22 (2014 est.) |
| Exchange rates: | 45.22 (2013 est.) |
| Exchange rates: | 41.95 (2012 est.) |
| Exchange rates: | 40.52 (2011 est.) |
