| Economy | MACEDONIA |
| Exports - commodities: | foodstuffs, beverages, tobacco; textiles, miscellaneous manufactures, iron, steel; automotive parts |
| Exports - partners: | Germany 40.9%, Kosovo 13.5%, Serbia 7.7%, Bulgaria 4.5% (2016) |
| Imports: | $5.805 billion (2016 est.) |
| Imports: | $5.393 billion (2015 est.) |
| Imports - commodities: | machinery and equipment, automobiles, chemicals, fuels, food products |
| Imports - partners: | Germany 12.2%, UK 10.7%, Serbia 7.9%, Greece 7.3%, China 6.2%, Italy 5.6%, Turkey 5.1%, Bulgaria 4.6% (2016) |
| Reserves of foreign exchange and gold: | $2.755 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $2.471 billion (31 December 2015 est.) |
| Debt - external: | $7.685 billion (31 December 2016 est.) |
| Debt - external: | $6.942 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $6.8 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $6.227 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $849.1 million (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $666.7 million (31 December 2015 est.) |
| Exchange rates: | Macedonian denars (MKD) per US dollar - |
| Exchange rates: | 55.733 (2016 est.) |
| Exchange rates: | 55.733 (2015 est.) |
| Exchange rates: | 55.537 (2014 est.) |
| Exchange rates: | 46.437 (31 December 2013 est.) |
| Exchange rates: | 47.89 (2012 est.) |
