| Economy | North Macedonia |
| Exports - commodities: | foodstuffs, beverages, tobacco; textiles, miscellaneous manufactures, iron, steel; automotive parts |
| Imports: | $6.63 billion (2017 est.) |
| Imports: | $5.805 billion (2016 est.) |
| Imports - commodities: | machinery and equipment, automobiles, chemicals, fuels, food products |
| Imports - partners: | Germany 11.9%, UK 10%, Greece 8%, Serbia 7.1%, China 5.9%, Italy 5.5%, Turkey 4.5%, Bulgaria 4.3% (2017) |
| Reserves of foreign exchange and gold: | $2.802 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $2.755 billion (31 December 2016 est.) |
| Debt - external: | $8.79 billion (31 December 2017 est.) |
| Debt - external: | $7.685 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $6.937 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $6.8 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $1.169 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $849.1 million (31 December 2016 est.) |
| Exchange rates: | Macedonian denars (MKD) per US dollar - |
| Exchange rates: | 55.8 (2017 est.) |
| Exchange rates: | 55.733 (2016 est.) |
| Exchange rates: | 55.733 (2015 est.) |
| Exchange rates: | 55.537 (2014 est.) |
| Exchange rates: | 46.437 (2013 est.) |
