| Economy | MACEDONIA |
| Agriculture - products: | grapes, tobacco, vegetables, fruits; milk, eggs |
| Industries: | food processing, beverages, textiles, chemicals, iron, steel, cement, energy, pharmaceuticals, automotive parts |
| Industrial production growth rate: | 4.8% (2014 est.) |
| Labor force: | 961,400 (2014 est.) |
| Labor force - by occupation: | agriculture: 18.3% |
| Labor force - by occupation: | industry: 29.1% |
| Labor force - by occupation: | services: 52.6% (2014 est.) |
| Unemployment rate: | 28.5% (2014 est.) |
| Unemployment rate: | 29% (2013 est.) |
| Population below poverty line: | 30.4% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.2% |
| Household income or consumption by percentage share: | highest 10%: 34.5% (2009 est.) |
| Distribution of family income - Gini index: | 43.6 (2013) |
| Distribution of family income - Gini index: | 39.2 (2011) |
| Budget: | revenues: $2.89 billion |
| Budget: | expenditures: $3.328 billion (2014 est.) |
| Taxes and other revenues: | 26.5% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -4% of GDP (2014 est.) |
| Public debt: | 45.8% of GDP (2014 est.) |
| Public debt: | 40.5% of GDP (2013 est.) |
| Public debt: | note: official data from Ministry of Finance; data cover central government debt; this data excludes debt instruments issued (or owned) by government entities other than the treasury; includes treasury debt held by foreign entitites; excludes debt issued by sub-national entities, as well as intra-governmental debt; there are no debt instruments sold for social funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.1% (2014 est.) |
| Inflation rate (consumer prices): | 2.8% (2013 est.) |
| Central bank discount rate: | 3.25% (31 December 2014) |
| Central bank discount rate: | 3.25% (31 December 2013) |
| Central bank discount rate: | note: series discontinued in January 2010; the discount rate has been replaced by a referent rate for calculating the penalty rate |
| Commercial bank prime lending rate: | 5.2% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 5.4% (31 December 2013 est.) |
| Stock of narrow money: | $1.692 billion (31 December 2014 est.) |
| Stock of narrow money: | $1.569 billion (31 December 2013 est.) |
| Stock of broad money: | $6.129 billion (31 December 2014 est.) |
| Stock of broad money: | $6.282 billion (31 December 2013 est.) |
| Stock of domestic credit: | $5.055 billion (31 December 2014 est.) |
| Stock of domestic credit: | $5.208 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $2.084 billion (31 December 2014) |
| Market value of publicly traded shares: | $2.302 billion (31 December 2013) |
| Market value of publicly traded shares: | $2.423 billion (31 December 2012) |
| Current account balance: | -$151 million (2014 est.) |
| Current account balance: | -$194.1 million (2013 est.) |
| Exports: | $4.934 billion (2014 est.) |
| Exports: | $4.267 billion (2013 est.) |
| Exports - commodities: | foodstuffs, beverages, tobacco; textiles, miscellaneous manufactures, iron, steel; automotive parts |
| Exports - partners: | Germany 41.4%, Bulgaria 6.6%, Italy 6.1%, Serbia 5.2%, Kosovo 4.7%, Greece 4.6% (2014 est.) |
| Imports: | $7.277 billion (2014 est.) |
| Imports: | $6.6 billion (2013 est.) |
| Imports - commodities: | machinery and equipment, automobiles, chemicals, fuels, food products |
| Imports - partners: | UK 12.3%, Germany 11.1%, Greece 9.2%, Serbia 8.2%, Italy 6.2%, China 5.9%, Bulgaria 5.3%, Turkey 5.1% (2014) |
| Reserves of foreign exchange and gold: | $2.958 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $2.747 billion (31 December 2013 est.) |
| Debt - external: | $7.241 billion (31 December 2014 est.) |
| Debt - external: | $7.194 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $5.063 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $4.714 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $758 million (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $744 million (31 December 2013 est.) |
| Exchange rates: | Macedonian denars (MKD) per US dollar - |
| Exchange rates: | 50.56 (2014 est.) |
| Exchange rates: | 44.63 (2013 est.) |
| Exchange rates: | 47.89 (2012 est.) |
| Exchange rates: | 44.23 (2011 est.) |
| Exchange rates: | 46.49 (2010 est.) |
