| Economy | MAURITIUS |
| GDP - composition, by end use: | imports of goods and services: -53.9% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.1% |
| GDP - composition, by sector of origin: | industry: 21.9% |
| GDP - composition, by sector of origin: | services: 74% (2016 est.) |
| Agriculture - products: | sugarcane, tea, corn, potatoes, bananas, pulses; cattle, goats; fish |
| Industries: | food processing (largely sugar milling), textiles, clothing, mining, chemicals, metal products, transport equipment, nonelectrical machinery, tourism |
| Industrial production growth rate: | 3.2% (2016 est.) |
| Labor force: | 623,300 (2016 est.) |
| Labor force - by occupation: | agriculture and fishing: 8% |
| Labor force - by occupation: | construction and industry: 29.8% |
| Labor force - by occupation: | transportation and communication: 63.5% |
| Labor force - by occupation: | trade, restaurants, hotels: 22% |
| Labor force - by occupation: | finance: 6% |
| Labor force - by occupation: | other services: 25% (2014 est.) |
| Unemployment rate: | 7.2% (2016 est.) |
| Unemployment rate: | 7.9% (2015 est.) |
| Population below poverty line: | 8% (2006 est.) |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Distribution of family income - Gini index: | 35.9 (2012 est.) |
| Distribution of family income - Gini index: | 39 (2006 est.) |
| Budget: | revenues: $2.539 billion |
| Budget: | expenditures: $2.854 billion (2016 est.) |
| Taxes and other revenues: | 21.2% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -2.6% of GDP (2016 est.) |
| Public debt: | 65% of GDP (2016 est.) |
| Public debt: | 62.7% of GDP (2015 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 1% (2016 est.) |
| Inflation rate (consumer prices): | 1.3% (2015 est.) |
| Central bank discount rate: | 9% (31 December 2010) |
| Commercial bank prime lending rate: | 8.5% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 8.5% (31 December 2015 est.) |
| Stock of narrow money: | $2.833 billion (31 December 2016 est.) |
| Stock of narrow money: | $2.547 billion (31 December 2015 est.) |
| Stock of broad money: | $13.27 billion (31 December 2016 est.) |
| Stock of broad money: | $12.2 billion (31 December 2015 est.) |
| Stock of domestic credit: | $13.7 billion (31 December 2016 est.) |
| Stock of domestic credit: | $13.28 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $7.239 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $8.751 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $8.942 billion (31 December 2013 est.) |
| Current account balance: | $-531 million (2016 est.) |
| Current account balance: | $-586 million (2015 est.) |
| Exports: | $2.359 billion (2016 est.) |
| Exports: | $2.662 billion (2015 est.) |
| Exports - commodities: | clothing and textiles, sugar, cut flowers, molasses, fish, primates (for research) |
| Exports - partners: | France 14.8%, UK 12%, US 11.4%, South Africa 8.2%, Madagascar 7.3%, Italy 6.8%, Spain 4.5% (2016) |
| Imports: | $4.408 billion (2016 est.) |
| Imports: | $4.524 billion (2015 est.) |
| Imports - commodities: | manufactured goods, capital equipment, foodstuffs, petroleum products, chemicals |
| Imports - partners: | China 17.7%, India 16.5%, France 7.8%, South Africa 7.5% (2016) |
| Reserves of foreign exchange and gold: | $4.967 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $4.26 billion (31 December 2015 est.) |
| Debt - external: | $14.34 billion (31 December 2016 est.) |
| Debt - external: | $14.64 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Mauritian rupees (MUR) per US dollar - |
| Exchange rates: | 35.542 (2016 est.) |
| Exchange rates: | 35.542 (2015 est.) |
| Exchange rates: | 35.057 (2014 est.) |
| Exchange rates: | 30.622 (2013 est.) |
| Exchange rates: | 30.05 (2012 est.) |
