| Economy | MAURITIUS |
| Current account balance: | -$956 million (2014 est.) |
| Current account balance: | -$1.179 billion (2013 est.) |
| Exports: | $3.135 billion (2014 est.) |
| Exports: | $2.872 billion (2013 est.) |
| Exports - commodities: | clothing and textiles, sugar, cut flowers, molasses, fish, primates (for research) |
| Exports - partners: | France 14.6%, UK 13.8%, UAE 10.6%, US 10.5%, South Africa 7.1%, Italy 6.6%, Madagascar 6.5%, Spain 5.2% (2014) |
| Imports: | $5.441 billion (2014 est.) |
| Imports: | $5.141 billion (2013 est.) |
| Imports - commodities: | manufactured goods, capital equipment, foodstuffs, petroleum products, chemicals |
| Imports - partners: | India 21.7%, China 16.2%, France 7.8%, South Africa 6.6% (2014) |
| Reserves of foreign exchange and gold: | $4.018 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $3.491 billion (31 December 2013 est.) |
| Debt - external: | $5.7 billion (31 December 2014 est.) |
| Debt - external: | $5.229 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Mauritian rupees (MUR) per US dollar - |
| Exchange rates: | 30.43 (2014 est.) |
| Exchange rates: | 30.703 (2013 est.) |
| Exchange rates: | 30.05 (2012 est.) |
| Exchange rates: | 28.706 (2011 est.) |
| Exchange rates: | 30.784 (2010 est.) |
