| Economy | Mauritius |
| Taxes and other revenues: | 22.5% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -0.3% (of GDP) (2017 est.) |
| Public debt: | 64% of GDP (2017 est.) |
| Public debt: | 66.1% of GDP (2016 est.) |
| Fiscal year: | 1 July - 30 June |
| Current account balance: | -$875 million (2017 est.) |
| Current account balance: | -$531 million (2016 est.) |
| Exports: | $2.36 billion (2017 est.) |
| Exports: | $2.359 billion (2016 est.) |
| Exports - partners: | France 16.7%, US 12.5%, UK 12%, South Africa 9%, Madagascar 6.7%, Italy 6.6%, Spain 5.2% (2017) |
| Exports - commodities: | clothing and textiles, sugar, cut flowers, molasses, fish, primates (for research) |
| Imports: | $4.986 billion (2017 est.) |
| Imports: | $4.406 billion (2016 est.) |
| Imports - commodities: | manufactured goods, capital equipment, foodstuffs, petroleum products, chemicals |
| Imports - partners: | India 17.9%, China 15.7%, France 11.1%, South Africa 9.7% (2017) |
| Reserves of foreign exchange and gold: | $5.984 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $4.967 billion (31 December 2016 est.) |
| Debt - external: | $19.99 billion (31 December 2017 est.) |
| Debt - external: | $14.34 billion (31 December 2016 est.) |
| Exchange rates: | Mauritian rupees (MUR) per US dollar - |
| Exchange rates: | 39.65 (2020 est.) |
| Exchange rates: | 36.51 (2019 est.) |
| Exchange rates: | 34.4 (2018 est.) |
| Exchange rates: | 35.057 (2014 est.) |
| Exchange rates: | 30.622 (2013 est.) |
