| Economy | KUWAIT |
| GDP - composition, by end use: | imports of goods and services: -31.3% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.4% |
| GDP - composition, by sector of origin: | industry: 60.6% |
| GDP - composition, by sector of origin: | services: 39% (2014 est.) |
| Agriculture - products: | fish |
| Industries: | petroleum, petrochemicals, cement, shipbuilding and repair, water desalination, food processing, construction materials |
| Industrial production growth rate: | -1.3% (2014 est.) |
| Labor force: | 2.397 million |
| Labor force: | note: non-Kuwaitis represent about 60% of the labor force (2014 est.) |
| Labor force - by occupation: | agriculture: NA% |
| Labor force - by occupation: | industry: NA% |
| Labor force - by occupation: | services: NA% |
| Unemployment rate: | 3% (2014 est.) |
| Unemployment rate: | 3% (2013 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $87.62 billion |
| Budget: | expenditures: $75.28 billion (2014 est.) |
| Taxes and other revenues: | 50.8% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | 7.1% of GDP (2014 est.) |
| Public debt: | 6.5% of GDP (2014 est.) |
| Public debt: | 6.1% of GDP (2013 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 2.9% (2014 est.) |
| Inflation rate (consumer prices): | 2.7% (2013 est.) |
| Central bank discount rate: | 1.25% (31 December 2010) |
| Central bank discount rate: | 3% (31 December 2009) |
| Commercial bank prime lending rate: | 4.3% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 4.6% (31 December 2013 est.) |
| Stock of narrow money: | $32.8 billion (31 December 2014 est.) |
| Stock of narrow money: | $31.86 billion (31 December 2013 est.) |
| Stock of broad money: | $116 billion (31 December 2014 est.) |
| Stock of broad money: | $116.5 billion (31 December 2013 est.) |
| Stock of domestic credit: | $96.65 billion (31 December 2014 est.) |
| Stock of domestic credit: | $95.09 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $99.77 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $100.9 billion (31 December 2011) |
| Market value of publicly traded shares: | $119.6 billion (31 December 2010 est.) |
| Current account balance: | $53.53 billion (2014 est.) |
| Current account balance: | $72.46 billion (2013 est.) |
| Exports: | $103.4 billion (2014 est.) |
| Exports: | $115.9 billion (2013 est.) |
| Exports - commodities: | oil and refined products, fertilizers |
| Exports - partners: | South Korea 16.7%, India 14.9%, Japan 12.3%, US 11.3%, China 9.9% (2014) |
| Imports: | $27.38 billion (2014 est.) |
| Imports: | $25.66 billion (2013 est.) |
| Imports - commodities: | food, construction materials, vehicles and parts, clothing |
| Imports - partners: | US 12.7%, China 11.9%, Saudi Arabia 7.1%, South Korea 6.9%, Japan 6.6%, Germany 4.8%, India 4.2% (2014) |
| Reserves of foreign exchange and gold: | $31.43 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $32.23 billion (31 December 2014 est.) |
| Debt - external: | $35.22 billion (31 December 2014 est.) |
| Debt - external: | $36.04 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $3.882 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $3.744 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $36.85 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $33.12 billion (31 December 2013 est.) |
| Exchange rates: | Kuwaiti dinars (KD) per US dollar - |
| Exchange rates: | 0.2845 (2014 est.) |
| Exchange rates: | 0.2845 (2013 est.) |
| Exchange rates: | 0.28 (2012 est.) |
| Exchange rates: | 0.276 (2011 est.) |
| Exchange rates: | 0.2866 (2010 est.) |
