| Economy | KENYA |
| GDP - per capita (PPP): | $3,100 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 14.8% of GDP (2015 est.) |
| Gross national saving: | 12.2% of GDP (2014 est.) |
| Gross national saving: | 11.3% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 79.3% |
| GDP - composition, by end use: | government consumption: 14.5% |
| GDP - composition, by end use: | investment in fixed capital: 21.5% |
| GDP - composition, by end use: | investment in inventories: -2.1% |
| GDP - composition, by end use: | exports of goods and services: 15.8% |
| GDP - composition, by end use: | imports of goods and services: -29% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 32.9% |
| GDP - composition, by sector of origin: | industry: 17.8% |
| GDP - composition, by sector of origin: | services: 49.2% (2015 est.) |
| Agriculture - products: | tea, coffee, corn, wheat, sugarcane, fruit, vegetables; dairy products, beef, fish, pork, poultry, eggs |
| Industries: | small-scale consumer goods (plastic, furniture, batteries, textiles, clothing, soap, cigarettes, flour), agricultural products, horticulture, oil refining; aluminum, steel, lead; cement, commercial ship repair, tourism |
| Industrial production growth rate: | 6.1% (2015 est.) |
| Labor force: | 18.07 million (2015 est.) |
| Labor force - by occupation: | agriculture: 75% |
| Labor force - by occupation: | industry and services: 25% (2011 est.) |
| Unemployment rate: | 40% (2013 est.) |
| Unemployment rate: | 40% (2001 est.) |
| Population below poverty line: | 43.4% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1.8% |
| Household income or consumption by percentage share: | highest 10%: 37.8% (2005) |
| Distribution of family income - Gini index: | 42.5 (2008 est.) |
| Distribution of family income - Gini index: | 44.9 (1997) |
| Budget: | revenues: $10.76 billion |
| Budget: | expenditures: $14.78 billion (2015 est.) |
| Taxes and other revenues: | 17.5% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -6.5% of GDP (2015 est.) |
| Public debt: | 48% of GDP (2015 est.) |
| Public debt: | 45.9% of GDP (2014 est.) |
| Fiscal year: | 1 July - 30 June |
| Inflation rate (consumer prices): | 6.6% (2015 est.) |
| Inflation rate (consumer prices): | 6.9% (2014 est.) |
| Central bank discount rate: | 11.5% (20 January 2016) |
| Central bank discount rate: | 7% (31 December 2010) |
| Commercial bank prime lending rate: | 16.09% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 16.51% (31 December 2014 est.) |
| Stock of narrow money: | $9.927 billion (31 December 2015 est.) |
| Stock of narrow money: | $10.34 billion (31 December 2014 est.) |
| Stock of broad money: | $24.02 billion (31 December 2014 est.) |
| Stock of broad money: | $18.92 billion (31 December 2013 est.) |
| Stock of domestic credit: | $27.5 billion (31 December 2015 est.) |
| Stock of domestic credit: | $26.37 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $26.16 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $22.09 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $14.79 billion (31 December 2012 est.) |
| Current account balance: | -$5.011 billion (2015 est.) |
| Current account balance: | -$6.339 billion (2014 est.) |
| Exports: | $5.982 billion (2015 est.) |
| Exports: | $6.174 billion (2014 est.) |
| Exports - commodities: | tea, horticultural products, coffee, petroleum products, fish, cement |
| Exports - partners: | Uganda 11.2%, US 8.3%, Tanzania 8.1%, Netherlands 7.4%, UK 6%, Pakistan 4.2% (2015) |
| Imports: | $15.56 billion (2015 est.) |
| Imports: | $17.61 billion (2014 est.) |
| Imports - commodities: | machinery and transportation equipment, petroleum products, motor vehicles, iron and steel, resins and plastics |
| Imports - partners: | China 30%, India 15.5%, UAE 5.7%, US 4.8%, Japan 4.7% (2015) |
| Reserves of foreign exchange and gold: | $7.548 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $7.911 billion (31 December 2014 est.) |
| Debt - external: | $17.92 billion (31 December 2015 est.) |
| Debt - external: | $16.18 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $4.662 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $3.902 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $NA (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $NA (31 December 2014 est.) |
| Exchange rates: | Kenyan shillings (KES) per US dollar - |
| Exchange rates: | 98.179 (2015 est.) |
| Exchange rates: | 87.923 (2014 est.) |
| Exchange rates: | 87.921 (2013 est.) |
| Exchange rates: | 84.53 (2012 est.) |
| Exchange rates: | 88.811 (2011 est.) |
