| Economy | Portugal |
| Exports - partners: | Spain 25.2%, France 12.5%, Germany 11.3%, UK 6.6%, US 5.2%, Netherlands 4% (2017) |
| Exports - commodities: | agricultural products, foodstuffs, wine, oil products, chemical products, plastics and rubber, hides, leather, wood and cork, wood pulp and paper, textile materials, clothing, footwear, machinery and tools, base metals |
| Imports: | $120.334 billion (2019 est.) |
| Imports: | $114.957 billion (2018 est.) |
| Imports: | $109.515 billion (2017 est.) |
| Imports - commodities: | agricultural products, chemical products, vehicles and other transport material, optical and precision instruments, computer accessories and parts, semiconductors and related devices, oil products, base metals, food products, textile materials |
| Imports - partners: | Spain 32%, Germany 13.7%, France 7.4%, Italy 5.5%, Netherlands 5.4% (2017) |
| Reserves of foreign exchange and gold: | $26.11 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $19.4 billion (31 December 2015 est.) |
| Debt - external: | $449 billion (31 March 2016 est.) |
| Debt - external: | $447 billion (31 March 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.82771 (2020 est.) |
| Exchange rates: | 0.90338 (2019 est.) |
| Exchange rates: | 0.87789 (2018 est.) |
| Exchange rates: | 0.7525 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
