| Economy | Portugal |
| Budget: | expenditures: $101 billion (2012 est.) |
| Taxes and other revenues: | 41.7% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -6.5% of GDP (2012 est.) |
| Public debt: | 123.6% of GDP (2012 est.) |
| Public debt: | 108.3% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.8% (2012 est.) |
| Inflation rate (consumer prices): | 3.7% (2011 est.) |
| Central bank discount rate: | 1.5% (31 December 2012) |
| Central bank discount rate: | 1.75% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 6.37% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 5.71% (31 December 2011 est.) |
| Stock of narrow money: | $88.92 billion (31 December 2012 est.) |
| Stock of narrow money: | $89.43 billion (31 December 2011 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $298.3 billion (31 December 2012 est.) |
| Stock of broad money: | $322.7 billion (31 December 2011 est.) |
| Stock of domestic credit: | $433.6 billion (31 December 2012 est.) |
| Stock of domestic credit: | $451.4 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $61.69 billion (31 December 2011) |
| Market value of publicly traded shares: | $82 billion (31 December 2010) |
| Market value of publicly traded shares: | $98.65 billion (31 December 2009) |
| Current account balance: | $-3.365 billion (2012 est.) |
| Current account balance: | $-16.76 billion (2011 est.) |
| Exports: | $58.24 billion (2012 est.) |
| Exports: | $60.01 billion (2011 est.) |
| Exports - commodities: | agricultural products, food products, wine, oil products, chemical products, plastics and rubber, hides, leather, wood and cork, wood pulp and paper, textile materials, clothing, footwear, machinery and tools, base metals |
| Exports - partners: | Spain 22.7%, Germany 12.4%, France 11.9%, Angola 6.5%, UK 5.3%, Netherlands 4.2% (2012) |
| Imports: | $69.48 billion (2012 est.) |
| Imports: | $79.67 billion (2011 est.) |
| Imports - commodities: | agricultural products, chemical products, vehicles and other transport material, optical and precision instruments, computer accessories and parts, semi-conductors and related devices, oil products, base metals, food products, textile materials |
| Imports - partners: | Spain 32%, Germany 11.5%, France 6.7%, Italy 5.3%, Netherlands 4.9% (2012) |
| Reserves of foreign exchange and gold: | $22.66 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $21.34 billion (31 December 2011 est.) |
| Debt - external: | $508.3 billion (31 December 2012) |
| Debt - external: | $482.2 billion (31 December 2011) |
| Stock of direct foreign investment - at home: | $117.2 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $111.8 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $71.26 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $72.23 billion (31 December 2011 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.72 (2011 est.) |
| Exchange rates: | 0.76 (2010 est.) |
| Exchange rates: | 0.72 (2009 est.) |
| Exchange rates: | 0.68 (2008 est.) |
