| Economy | Portugal |
| Unemployment rate: | 15.7% (2012 est.) |
| Population below poverty line: | 18% (2006) |
| Household income or consumption by percentage share: | lowest 10%: 3.1% |
| Household income or consumption by percentage share: | highest 10%: 28.4% (1995 est.) |
| Distribution of family income - Gini index: | 38.5 (2007) |
| Distribution of family income - Gini index: | 35.6 (1995) |
| Budget: | revenues: $95.49 billion |
| Budget: | expenditures: $106.8 billion (2013 est.) |
| Taxes and other revenues: | 43.5% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -5.1% of GDP (2013 est.) |
| Public debt: | 127.8% of GDP (2013 est.) |
| Public debt: | 123.6% of GDP (2012 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.4% (2013 est.) |
| Inflation rate (consumer prices): | 2.8% (2012 est.) |
| Central bank discount rate: | 0.75% (31 December 2013) |
| Central bank discount rate: | 1.5% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 6% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 6.37% (31 December 2012 est.) |
| Stock of narrow money: | $86.57 billion (31 December 2013 est.) |
| Stock of narrow money: | $88.92 billion (31 December 2012 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $283.9 billion (31 December 2013 est.) |
| Stock of broad money: | $301.5 billion (31 December 2012 est.) |
| Stock of domestic credit: | $408.3 billion (31 December 2013 est.) |
| Stock of domestic credit: | $433.6 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $65.53 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $61.69 billion (31 December 2011) |
| Market value of publicly traded shares: | $82 billion (31 December 2010 est.) |
| Current account balance: | $1 billion (2013 est.) |
| Current account balance: | -$3.365 billion (2012 est.) |
| Exports: | $61 billion (2013 est.) |
| Exports: | $58.29 billion (2012 est.) |
| Exports - commodities: | agricultural products, food products, wine, oil products, chemical products, plastics and rubber, hides, leather, wood and cork, wood pulp and paper, textile materials, clothing, footwear, machinery and tools, base metals |
| Exports - partners: | Spain 22.7%, Germany 12.4%, France 11.9%, Angola 6.5%, UK 5.3%, Netherlands 4.2% (2012) |
| Imports: | $59 billion (2013 est.) |
| Imports: | $72.35 billion (2012 est.) |
| Imports - commodities: | agricultural products, chemical products, vehicles and other transport material, optical and precision instruments, computer accessories and parts, semi-conductors and related devices, oil products, base metals, food products, textile materials |
| Imports - partners: | Spain 32%, Germany 11.5%, France 6.7%, Italy 5.3%, Netherlands 4.9% (2012) |
| Reserves of foreign exchange and gold: | $22.66 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $21.34 billion (31 December 2011 est.) |
| Debt - external: | $508.3 billion (31 December 2012 est.) |
| Debt - external: | $482.2 billion (31 December 2011) |
| Stock of direct foreign investment - at home: | $121.6 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $117.2 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $71.26 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $71.26 billion (31 December 2012 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
| Exchange rates: | 0.755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
