| Economy | PORTUGAL |
| Labor force - by occupation: | agriculture: 8.6% |
| Labor force - by occupation: | industry: 23.9% |
| Labor force - by occupation: | services: 67.5% (2014 est.) |
| Unemployment rate: | 11.1% (2016 est.) |
| Unemployment rate: | 12.4% (2015 est.) |
| Population below poverty line: | 19% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 25.9% (2015 est.) |
| Distribution of family income - Gini index: | 33.9 (2015 est.) |
| Distribution of family income - Gini index: | 34 (2014 est.) |
| Budget: | revenues: $88.1 billion |
| Budget: | expenditures: $92.22 billion (2016 est.) |
| Taxes and other revenues: | 43% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -2% of GDP (2016 est.) |
| Public debt: | 130.4% of GDP (2016 est.) |
| Public debt: | 129% of GDP (2015 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.6% (2016 est.) |
| Inflation rate (consumer prices): | 0.5% (2015 est.) |
| Central bank discount rate: | 0% (2016) |
| Central bank discount rate: | 0.05% (2015) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 3.77% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 4.49% (31 December 2015 est.) |
| Stock of narrow money: | $81.15 billion (31 December 2016 est.) |
| Stock of narrow money: | $72.29 billion (31 December 2015 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $173.9 billion (31 December 2016 est.) |
| Stock of broad money: | $163.8 billion (31 December 2015 est.) |
| Stock of domestic credit: | $311.5 billion (31 December 2016 est.) |
| Stock of domestic credit: | $326.2 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $59.84 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $57.77 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $79.18 billion (31 December 2013 est.) |
| Current account balance: | $1.462 billion (2016 est.) |
| Current account balance: | $138 million (2015 est.) |
| Exports: | $54.76 billion (2016 est.) |
| Exports: | $54.47 billion (2015 est.) |
| Exports - commodities: | agricultural products, foodstuffs, wine, oil products, chemical products, plastics and rubber, hides, leather, wood and cork, wood pulp and paper, textile materials, clothing, footwear, machinery and tools, base metals |
| Exports - partners: | Spain 26.2%, France 12.6%, Germany 11.7%, UK 7%, US 4.9% (2016) |
| Imports: | $64.79 billion (2016 est.) |
| Imports: | $64.74 billion (2015 est.) |
| Imports - commodities: | agricultural products, chemical products, vehicles and other transport material, optical and precision instruments, computer accessories and parts, semiconductors and related devices, oil products, base metals, food products, textile materials |
| Imports - partners: | Spain 32.8%, Germany 13.5%, France 7.8%, Italy 5.5%, Netherlands 5.1% (2016) |
| Reserves of foreign exchange and gold: | $25.13 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $19.4 billion (31 December 2015 est.) |
| Debt - external: | $449 billion (31 March 2016 est.) |
| Debt - external: | $447 billion (31 March 2015 est.) |
| Stock of direct foreign investment - at home: | $147.1 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $143.5 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $84.73 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $83.3 billion (31 December 2015 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.9214 (2016 est.) |
| Exchange rates: | 0.885 (2015 est.) |
| Exchange rates: | 0.7525 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
