| Economy | PORTUGAL |
| Stock of broad money: | $296.1 billion (31 December 2014 est.) |
| Stock of broad money: | $316.2 billion (31 December 2013 est.) |
| Stock of domestic credit: | $394 billion (31 December 2014 est.) |
| Stock of domestic credit: | $428.7 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $126.8 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $57.04 billion (31 December 2013) |
| Market value of publicly traded shares: | $65.53 billion (31 December 2012 est.) |
| Current account balance: | $1.388 billion (2014 est.) |
| Current account balance: | $2.404 billion (2013 est.) |
| Exports: | $66.3 billion (2014 est.) |
| Exports: | $62.98 billion (2013 est.) |
| Exports - commodities: | agricultural products, foodstuffs, wine, oil products, chemical products, plastics and rubber, hides, leather, wood and cork, wood pulp and paper, textile materials, clothing, footwear, machinery and tools, base metals |
| Exports - partners: | Spain 23.7%, France 11.8%, Germany 11.8%, Angola 6.5%, UK 6.1%, US 4.2%, Netherlands 4% (2014) |
| Imports: | $76.11 billion (2014 est.) |
| Imports: | $72.63 billion (2013 est.) |
| Imports - commodities: | agricultural products, chemical products, vehicles and other transport material, optical and precision instruments, computer accessories and parts, semiconductors and related devices, oil products, base metals, food products, textile materials |
| Imports - partners: | Spain 32.6%, Germany 12.4%, France 7.1%, Italy 5.3%, Netherlands 5.1% (2014) |
| Reserves of foreign exchange and gold: | $14.92 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $17.55 billion (31 December 2013 est.) |
| Debt - external: | $508.3 billion (31 December 2012 est.) |
| Debt - external: | $482.2 billion (31 December 2011) |
| Stock of direct foreign investment - at home: | $152.5 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $146.2 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $99.55 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $99.55 billion (31 December 2013 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7489 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.78 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 0.755 (2010 est.) |
