| Economy | Portugal |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 6.6% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 5.71% (31 December 2011 est.) |
| Stock of narrow money: | $86.55 billion (31 December 2012 est.) |
| Stock of narrow money: | $89.42 billion (31 December 2011 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $298.3 billion (31 December 2012 est.) |
| Stock of broad money: | $322.7 billion (31 December 2011 est.) |
| Stock of domestic credit: | $390.4 billion (31 December 2012 est.) |
| Stock of domestic credit: | $451.3 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $61.69 billion (31 December 2011) |
| Market value of publicly traded shares: | $82 billion (31 December 2010) |
| Market value of publicly traded shares: | $98.65 billion (31 December 2009) |
| Agriculture - products: | grain, potatoes, tomatoes, olives, grapes; sheep, cattle, goats, pigs, poultry, dairy products; fish |
| Industrial production growth rate: | -2% (2011 est.) |
| Current account balance: | -$6 billion (2012 est.) |
| Current account balance: | -$15.44 billion (2011 est.) |
| Exports: | $57.8 billion (2012 est.) |
| Exports: | $59.22 billion (2011 est.) |
| Exports - commodities: | agricultural products, food products, wine, oil products, chemical products, plastics and rubber, hides, leather, wood and cork, wood pulp and paper, textile materials, clothing, footwear, machinery and tools, base metals |
| Exports - partners: | Spain 25.1%, Germany 13.6%, France 12.1%, Angola 5.5%, UK 5.1% (2011) |
| Imports: | $67.03 billion (2012 est.) |
| Imports: | $77.62 billion (2011 est.) |
| Imports - commodities: | agricultural products, chemical products, vehicles and other transport material, and optical and precision instruments, computer accessories and parts, semi-conductors and related devices, oil products, base metals, food products, textile materials |
| Imports - partners: | Spain 31.8%, Germany 12.4%, France 6.9%, Italy 5.4%, Netherlands 4.8% (2011) |
| Reserves of foreign exchange and gold: | $21.34 billion (31 December 2011 est.) |
| Reserves of foreign exchange and gold: | $21 billion (2010 est.) |
| Debt - external: | $548.3 billion (30 June 2011) |
| Debt - external: | $497.8 billion (30 June 2010) |
| Stock of direct foreign investment - at home: | $128.2 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $120.4 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $64.25 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $64.25 billion (31 December 2011 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7838 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
| Fiscal year: | calendar year |
