| Economy | Lesotho |
| GDP - composition, by sector of origin: | services: 54.9% (2017 est.) |
| Agriculture - products: | corn, wheat, pulses, sorghum, barley; livestock |
| Industries: | food, beverages, textiles, apparel assembly, handicrafts, construction, tourism |
| Industrial production growth rate: | 12.5% (2017 est.) |
| Labor force: | 930,800 (2017 est.) |
| Labor force - by occupation: | agriculture: 86% |
| Labor force - by occupation: | industry and services: 14% (2002 est.) |
| Labor force - by occupation: | note: most of the resident population is engaged in subsistence agriculture; roughly 35% of the active male wage earners work in South Africa |
| Unemployment rate: | 28.1% (2014 est.) |
| Unemployment rate: | 25% (2008 est.) |
| Population below poverty line: | 57% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 1% |
| Household income or consumption by percentage share: | highest 10%: 39.4% (2003) |
| Distribution of family income - Gini index: | 63.2 (1995) |
| Distribution of family income - Gini index: | 56 (1986-87) |
| Budget: | revenues: 1.09 billion (2017 est.) |
| Budget: | expenditures: 1.255 billion (2017 est.) |
| Taxes and other revenues: | 39.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -6% (of GDP) (2017 est.) |
| Public debt: | 33.7% of GDP (2017 est.) |
| Public debt: | 36.2% of GDP (2016 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 5.3% (2017 est.) |
| Inflation rate (consumer prices): | 6.2% (2016 est.) |
| Central bank discount rate: | 6.75% (2 February 2016) |
| Central bank discount rate: | 6.25% (31 December 2015) |
| Commercial bank prime lending rate: | 11.58% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 11.58% (31 December 2016 est.) |
| Stock of narrow money: | $420.8 million (31 December 2017 est.) |
| Stock of narrow money: | $356.3 million (31 December 2016 est.) |
| Stock of broad money: | $420.8 million (31 December 2017 est.) |
| Stock of broad money: | $356.3 million (31 December 2016 est.) |
| Stock of domestic credit: | $442.3 million (31 December 2017 est.) |
| Stock of domestic credit: | $230.9 million (31 December 2016 est.) |
| Current account balance: | -$102 million (2017 est.) |
| Current account balance: | -$201 million (2016 est.) |
| Exports: | $1.028 billion (2017 est.) |
| Exports: | $894 million (2016 est.) |
| Exports - partners: | South Africa 57%, US 33.5% (2017) |
| Exports - commodities: | manufactures (clothing, footwear), wool and mohair, food and live animals, electricity, water, diamonds |
| Imports: | $1.826 billion (2017 est.) |
| Imports: | $1.613 billion (2016 est.) |
| Imports - commodities: | food; building materials, vehicles, machinery, medicines, petroleum products |
| Imports - partners: | South Africa 87.2% (2017) |
| Reserves of foreign exchange and gold: | $657.7 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $925.2 million (31 December 2016 est.) |
| Debt - external: | $934.6 million (31 December 2017 est.) |
| Debt - external: | $921.3 million (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $497.7 million (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $456.5 million (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $122 million (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $206.9 million (31 December 2016 est.) |
| Exchange rates: | maloti (LSL) per US dollar - |
| Exchange rates: | 14.48 (2017 est.) |
| Exchange rates: | 14.71 (2016 est.) |
| Exchange rates: | 14.71 (2015 est.) |
| Exchange rates: | 12.76 (2014 est.) |
| Exchange rates: | 10.85 (2013 est.) |
