| Economy | Lesotho |
| Gross national saving: | 7.8% of GDP (2011 est.) |
| Gross national saving: | 11.2% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 90.8% |
| GDP - composition, by end use: | government consumption: 38.1% |
| GDP - composition, by end use: | investment in fixed capital: 31.8% |
| GDP - composition, by end use: | investment in inventories: 0.8% |
| GDP - composition, by end use: | exports of goods and services: 46.5% |
| GDP - composition, by end use: | imports of goods and services: -108.1% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 7.4% |
| GDP - composition, by sector of origin: | industry: 34.6% |
| GDP - composition, by sector of origin: | services: 58% (2012 est.) |
| Agriculture - products: | corn, wheat, pulses, sorghum, barley; livestock |
| Industries: | food, beverages, textiles, apparel assembly, handicrafts, construction, tourism |
| Industrial production growth rate: | 9.3% (2012 est.) |
| Labor force: | 855,600 (2012 est.) |
| Labor force - by occupation: | agriculture: 86% |
| Labor force - by occupation: | industry and services: 14% |
| Labor force - by occupation: | note: most of resident population engaged in subsistence agriculture; roughly 35% of the active male wage earners work in South Africa (2002 est.) |
| Unemployment rate: | 25% (2008 est.) |
| Unemployment rate: | 45% (2002 est.) |
| Population below poverty line: | 49% (1999) |
| Household income or consumption by percentage share: | lowest 10%: 1% |
| Household income or consumption by percentage share: | highest 10%: 39.4% (2003) |
| Distribution of family income - Gini index: | 63.2 (1995) |
| Distribution of family income - Gini index: | 56 (1986-87) |
| Budget: | revenues: $1.658 billion |
| Budget: | expenditures: $1.536 billion (2012 est.) |
| Taxes and other revenues: | 68.3% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | 5% of GDP (2012 est.) |
| Public debt: | NA |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 6.1% (2012 est.) |
| Inflation rate (consumer prices): | 5% (2011 est.) |
| Central bank discount rate: | 9.36% (31 December 2012 est.) |
| Central bank discount rate: | 10% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 10.12% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 10.43% (31 December 2011 est.) |
| Stock of narrow money: | $408.9 million (31 December 2012 est.) |
| Stock of narrow money: | $346.5 million (31 December 2011 est.) |
| Stock of broad money: | $897 million (31 December 2012 est.) |
| Stock of broad money: | $820.4 million (31 December 2011 est.) |
| Stock of domestic credit: | $75,280 (31 December 2012 est.) |
| Stock of domestic credit: | $15,600 (31 December 2011 est.) |
| Current account balance: | $-587.4 million (2012 est.) |
| Current account balance: | $-460.4 million (2011 est.) |
| Exports: | $972.4 million (2012 est.) |
| Exports: | $1.175 billion (2011 est.) |
| Exports - commodities: | manufactures (clothing, footwear), wool and mohair, food and live animals, electricity, water, diamonds |
| Imports: | $2.239 billion (2012 est.) |
| Imports: | $2.155 billion (2011 est.) |
| Imports - commodities: | food; building materials, vehicles, machinery, medicines, petroleum products |
| Reserves of foreign exchange and gold: | $749.4 million (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $832.6 million (31 December 2011 est.) |
| Debt - external: | $779.8 million (31 December 2012 est.) |
| Debt - external: | $791.9 million (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $398 million (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $200.3 million (31 December 2011 est.) |
| Exchange rates: | maloti (LSL) per US dollar - |
| Exchange rates: | 8.2 (2012 est.) |
| Exchange rates: | 7.26 (2011 est.) |
| Exchange rates: | 7.32 (2010 est.) |
| Exchange rates: | 8.47 (2009) |
| Exchange rates: | 7.75 (2008) |
