| Economy | LAOS |
| Taxes and other revenues: | 22.4% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -5.2% of GDP (2015 est.) |
| Public debt: | 61.7% of GDP (2015 est.) |
| Public debt: | 60.4% of GDP (2014 est.) |
| Fiscal year: | 1 October - 30 September |
| Inflation rate (consumer prices): | 1.3% (2015 est.) |
| Inflation rate (consumer prices): | 4.1% (2014 est.) |
| Central bank discount rate: | 4.3% (31 December 2010) |
| Central bank discount rate: | 4% (31 December 2009) |
| Commercial bank prime lending rate: | 18.2% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 19.2% (31 December 2014 est.) |
| Stock of narrow money: | $1.132 billion (31 December 2015 est.) |
| Stock of narrow money: | $1.149 billion (31 December 2014 est.) |
| Stock of broad money: | $6.509 billion (31 December 2015 est.) |
| Stock of broad money: | $6.461 billion (31 December 2014 est.) |
| Stock of domestic credit: | $7.231 billion (31 December 2015 est.) |
| Stock of domestic credit: | $6.22 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.012 billion (2012 est.) |
| Market value of publicly traded shares: | $576.8 million (2011 est.) |
| Current account balance: | -$2.905 billion (2015 est.) |
| Current account balance: | -$2.71 billion (2014 est.) |
| Exports: | $2.928 billion (2015 est.) |
| Exports: | $2.662 billion (2014 est.) |
| Exports - commodities: | wood products, coffee, electricity, tin, copper, gold, cassava |
| Exports - partners: | Thailand 30.4%, China 27%, Vietnam 17.6% (2015) |
| Imports: | $4.058 billion (2015 est.) |
| Imports: | $4.271 billion (2014 est.) |
| Imports - commodities: | machinery and equipment, vehicles, fuel, consumer goods |
| Imports - partners: | Thailand 60.9%, China 18.6%, Vietnam 7.3% (2015) |
| Reserves of foreign exchange and gold: | $1.058 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $889.7 million (31 December 2014 est.) |
| Debt - external: | $10.77 billion (31 December 2015 est.) |
| Debt - external: | $10.72 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $15.14 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $12.44 billion (31 December 2011 est.) |
| Exchange rates: | kips (LAK) per US dollar - |
| Exchange rates: | 8,147.9 (2015 est.) |
| Exchange rates: | 8,049 (2014 est.) |
| Exchange rates: | 8,049 (2013 est.) |
| Exchange rates: | 8,007.3 (2012 est.) |
| Exchange rates: | 8,035.1 (2011 est.) |
