| Economy | Romania |
| Agriculture - products: | wheat, corn, barley, sugar beets, sunflower seed, potatoes, grapes; eggs, sheep |
| Industries: | electric machinery and equipment, auto assembly, textiles and footwear, light machinery, metallurgy, chemicals, food processing, petroleum refining, mining, timber, construction materials |
| Industrial production growth rate: | 5.5% (2017 est.) |
| Labor force: | 8.951 million (2017 est.) |
| Labor force - by occupation: | agriculture: 28.3% |
| Labor force - by occupation: | industry: 28.9% |
| Labor force - by occupation: | services: 42.8% (2014) |
| Unemployment rate: | 4.9% (2017 est.) |
| Unemployment rate: | 5.9% (2016 est.) |
| Population below poverty line: | 22.4% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 7.6% (2014 est.) |
| Household income or consumption by percentage share: | highest 10%: 7.6% (2014 est.) |
| Distribution of family income - Gini index: | 27.3 (2012) |
| Distribution of family income - Gini index: | 28.2 (2010) |
| Budget: | revenues: 62.14 billion (2017 est.) |
| Budget: | expenditures: 68.13 billion (2017 est.) |
| Taxes and other revenues: | 29.3% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -2.8% (of GDP) (2017 est.) |
| Public debt: | 36.8% of GDP (2017 est.) |
| Public debt: | 38.8% of GDP (2016 est.) |
| Public debt: | note: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.3% (2017 est.) |
| Inflation rate (consumer prices): | -1.6% (2016 est.) |
| Central bank discount rate: | 1.75% (31 December 2017) |
| Central bank discount rate: | 1.75% (31 December 2016) |
| Commercial bank prime lending rate: | 5.57% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 5.71% (31 December 2016 est.) |
| Stock of narrow money: | $54.13 billion (31 December 2017 est.) |
| Stock of narrow money: | $41.82 billion (31 December 2016 est.) |
| Stock of broad money: | $54.13 billion (31 December 2017 est.) |
| Stock of broad money: | $41.82 billion (31 December 2016 est.) |
| Stock of domestic credit: | $72.54 billion (31 December 2017 est.) |
| Stock of domestic credit: | $60.3 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $42.24 billion (31 December 2017 est.) |
| Market value of publicly traded shares: | $34.06 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $42.59 billion (31 December 2013 est.) |
| Current account balance: | -$7.114 billion (2017 est.) |
| Current account balance: | -$3.93 billion (2016 est.) |
| Exports: | $64.58 billion (2017 est.) |
| Exports: | $57.72 billion (2016 est.) |
| Exports - partners: | Germany 23%, Italy 11.2%, France 6.8%, Hungary 4.7%, UK 4.1% (2017) |
| Exports - commodities: | machinery and equipment, other manufactured goods, agricultural products and foodstuffs, metals and metal products, chemicals, minerals and fuels, raw materials |
| Imports: | $78.12 billion (2017 est.) |
| Imports: | $68 billion (2016 est.) |
| Imports - commodities: | machinery and equipment, other manufactured goods, chemicals, agricultural products and foodstuffs, fuels and minerals, metals and metal products, raw materials |
| Imports - partners: | Germany 20%, Italy 10%, Hungary 7.5%, Poland 5.5%, France 5.3%, China 5%, Netherlands 4% (2017) |
| Reserves of foreign exchange and gold: | $44.43 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $40 billion (31 December 2016 est.) |
| Debt - external: | $95.97 billion (31 December 2017 est.) |
| Debt - external: | $93.71 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $94 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $76.93 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $6.822 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $5.963 billion (31 December 2016 est.) |
| Exchange rates: | lei (RON) per US dollar - |
| Exchange rates: | 4.077 (2017 est.) |
| Exchange rates: | 4.0592 (2016 est.) |
| Exchange rates: | 4.0592 (2015 est.) |
| Exchange rates: | 4.0057 (2014 est.) |
| Exchange rates: | 3.3492 (2013 est.) |
