| Economy | ROMANIA |
| Industries: | electric machinery and equipment, auto assembly, textiles and footwear, light machinery, metallurgy, chemicals, food processing, petroleum refining, mining, timber, construction materials |
| Industrial production growth rate: | 3.3% (2015 est.) |
| Labor force: | 9.159 million (2015 est.) |
| Labor force - by occupation: | agriculture: 28.3% |
| Labor force - by occupation: | industry: 28.9% |
| Labor force - by occupation: | services: 42.8% (2014) |
| Unemployment rate: | 6.8% (2015 est.) |
| Unemployment rate: | 6.8% (2014 est.) |
| Population below poverty line: | 22.4% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 15.3% |
| Household income or consumption by percentage share: | highest 10%: 7.6% (2014 est.) |
| Distribution of family income - Gini index: | 27.3 (2012) |
| Distribution of family income - Gini index: | 28.2 (2010) |
| Budget: | revenues: $58.31 billion |
| Budget: | expenditures: $60.89 billion (2015 est.) |
| Taxes and other revenues: | 32.9% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1.5% of GDP (2015 est.) |
| Public debt: | 38.4% of GDP (2015 est.) |
| Public debt: | 39.8% of GDP (2014 est.) |
| Public debt: | note: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.6% (2015 est.) |
| Inflation rate (consumer prices): | 1.1% (2014 est.) |
| Central bank discount rate: | 1.75% (31 December 2015) |
| Central bank discount rate: | 2.75% (31 December 2014) |
| Commercial bank prime lending rate: | 6.77% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 8.47% (31 December 2014 est.) |
| Stock of narrow money: | $36.06 billion (31 December 2015 est.) |
| Stock of narrow money: | $32.16 billion (31 December 2014 est.) |
| Stock of broad money: | $71.58 billion (31 December 2015 est.) |
| Stock of broad money: | $78.18 billion (31 December 2014 est.) |
| Stock of domestic credit: | $64.47 billion (31 December 2015 est.) |
| Stock of domestic credit: | $68.72 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $36.5 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $41.04 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $42.59 billion (31 December 2013 est.) |
| Current account balance: | -$1.95 billion (2015 est.) |
| Current account balance: | -$910 million (2014 est.) |
| Exports: | $54.52 billion (2015 est.) |
| Exports: | $62.16 billion (2014 est.) |
| Exports - commodities: | machinery and equipment, other manufactured goods, agricultural products and foodstuffs, metals and metal products, chemicals, minerals and fuels, raw materials |
| Exports - partners: | Germany 19.8%, Italy 12.5%, France 6.8%, Hungary 5.4%, UK 4.4% (2015) |
| Imports: | $63.12 billion (2015 est.) |
| Imports: | $70.5 billion (2014 est.) |
| Imports - commodities: | machinery and equipment, other manufactured goods, chemicals, agricultural products and foodstuffs, fuels and minerals, metals and metal products, raw materials |
| Imports - partners: | Germany 19.8%, Italy 10.9%, Hungary 8%, France 5.6%, Poland 4.9%, China 4.6%, Netherlands 4% (2015) |
| Reserves of foreign exchange and gold: | $38.71 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $43.16 billion (31 December 2014 est.) |
| Debt - external: | $102.6 billion (31 December 2015 est.) |
| Debt - external: | $111.3 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $72.21 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $76 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $3.618 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $3.14 billion (31 December 2014 est.) |
| Exchange rates: | lei (RON) per US dollar - |
| Exchange rates: | 4.0057 (2015 est.) |
| Exchange rates: | 3.3492 (2014 est.) |
| Exchange rates: | 3.3492 (2013 est.) |
| Exchange rates: | 3.47 (2012 est.) |
| Exchange rates: | 3.0486 (2011 est.) |
