| Economy | GHANA |
| Reserves of foreign exchange and gold: | $5.885 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $5.461 billion (31 December 2014 est.) |
| Debt - external: | $19.15 billion (31 December 2015 est.) |
| Debt - external: | $17.61 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $19.85 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $118 million (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $16.62 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $109 million (31 December 2012 est.) |
| Exchange rates: | cedis (GHC) per US dollar - |
| Exchange rates: | 3.712 (2015 est.) |
| Exchange rates: | 2.895 (2014 est.) |
| Exchange rates: | 2.895 (2013 est.) |
| Exchange rates: | 1.8 (2012 est.) |
| Exchange rates: | 1.512 (2011 est.) |
