| Economy | GHANA |
| Inflation rate (consumer prices): | 17.2% (2015 est.) |
| Central bank discount rate: | 25.5% (31 December 2016) |
| Central bank discount rate: | 26% (31 December 2015) |
| Commercial bank prime lending rate: | 31.3% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 28.6% (31 December 2015 est.) |
| Stock of narrow money: | $6.472 billion (31 December 2016 est.) |
| Stock of narrow money: | $5.736 billion (31 December 2015 est.) |
| Stock of broad money: | $13.75 billion (31 December 2016 est.) |
| Stock of broad money: | $12.42 billion (31 December 2015 est.) |
| Stock of domestic credit: | $13.67 billion (31 December 2016 est.) |
| Stock of domestic credit: | $12.93 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $12.55 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $15.05 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $3.465 billion (31 December 2012 est.) |
| Current account balance: | $-2.866 billion (2016 est.) |
| Current account balance: | $-2.824 billion (2015 est.) |
| Exports: | $11.06 billion (2016 est.) |
| Exports: | $10.32 billion (2015 est.) |
| Exports - commodities: | oil, gold, cocoa, timber, tuna, bauxite, aluminum, manganese ore, diamonds, horticultural products |
| Exports - partners: | Switzerland 17.6%, India 14.7%, UAE 13.4%, China 8.9%, Vietnam 5.2%, Netherlands 4.2%, Burkina Faso 4% (2016) |
| Imports: | $12.75 billion (2016 est.) |
| Imports: | $13.47 billion (2015 est.) |
| Imports - commodities: | capital equipment, refined petroleum, foodstuffs |
| Imports - partners: | China 17.3%, UK 9.7%, US 7.7%, Belgium 5.1%, India 4.6% (2016) |
| Reserves of foreign exchange and gold: | $6.162 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $5.885 billion (31 December 2015 est.) |
| Debt - external: | $21.95 billion (31 December 2016 est.) |
| Debt - external: | $20.68 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $19.85 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $118 million (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $16.62 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $109 million (31 December 2012 est.) |
| Exchange rates: | cedis (GHC) per US dollar - |
| Exchange rates: | 3.909 (2016 est.) |
| Exchange rates: | 3.909 (2015 est.) |
| Exchange rates: | 3.712 (2014 est.) |
| Exchange rates: | 2.895 (2013 est.) |
| Exchange rates: | 1.8 (2012 est.) |
