| Economy | Hungary |
| GDP - composition, by end use: | investment in inventories: -0.7% |
| GDP - composition, by end use: | exports of goods and services: 97.2% |
| GDP - composition, by end use: | imports of goods and services: -88.8% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.4% |
| GDP - composition, by sector of origin: | industry: 28% |
| GDP - composition, by sector of origin: | services: 68.7% (2013 est.) |
| Agriculture - products: | wheat, corn, sunflower seed, potatoes, sugar beets; pigs, cattle, poultry, dairy products |
| Industries: | mining, metallurgy, construction materials, processed foods, textiles, chemicals (especially pharmaceuticals), motor vehicles |
| Industrial production growth rate: | 1.8% (2013 est.) |
| Labor force: | 4.263 million (2013 est.) |
| Labor force - by occupation: | agriculture: 7.1% |
| Labor force - by occupation: | industry: 29.7% |
| Labor force - by occupation: | services: 63.2% (2011) |
| Unemployment rate: | 10.5% (2013 est.) |
| Unemployment rate: | 10.7% (2012 est.) |
| Population below poverty line: | 14% (2012) |
| Household income or consumption by percentage share: | lowest 10%: 3.1% |
| Household income or consumption by percentage share: | highest 10%: 22.6% (2009) |
| Distribution of family income - Gini index: | 24.7 (2009) |
| Distribution of family income - Gini index: | 24.4 (1998) |
| Budget: | revenues: $62.24 billion |
| Budget: | expenditures: $66.01 billion (2013 est.) |
| Taxes and other revenues: | 47.7% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -2.9% of GDP |
| Budget surplus (+) or deficit (-): | note: Hungary has been under the EU Excessive Deficit Procedure since it joined the EU in 2004; in March 2012 the EU elevated its Excessive Deficit Procedure against Hungary and proposed freezing 30% of the country's Cohesion Funds because 2011 deficit reductions were not achieved in a sustainable manner; in June 2012, the EU lifted the freeze, recognizing that steps had been taken to reduce the deficit; the latest EC forecasts project the Hungarian deficit to increase above 3% both in 2013 and in 2014 due to sluggish growth and the government's fiscal tightening (2013 est.) |
| Public debt: | 79.8% of GDP (2013 est.) |
| Public debt: | 79.3% of GDP (2012 est.) |
| Public debt: | note: general government gross debt is defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and government, state government, local government, and social security funds. |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.9% (2013 est.) |
| Inflation rate (consumer prices): | 5.7% (2012 est.) |
| Central bank discount rate: | 5.75% (19 December 2012) |
| Central bank discount rate: | 7% (31 December 2011) |
| Commercial bank prime lending rate: | 6.5% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 9.02% (31 December 2012 est.) |
| Stock of narrow money: | $34.75 billion (31 December 2013 est.) |
| Stock of narrow money: | $33.03 billion (31 December 2012 est.) |
| Stock of broad money: | $67.47 billion (31 December 2013 est.) |
| Stock of broad money: | $68.7 billion (31 December 2012 est.) |
| Stock of domestic credit: | $77.79 billion (31 December 2013 est.) |
| Stock of domestic credit: | $87.27 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $22.9 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $22.8 billion (31 December 2011) |
| Market value of publicly traded shares: | $27.71 billion (31 December 2010 est.) |
| Current account balance: | $1.722 billion (2013 est.) |
| Current account balance: | $2.087 billion (2012 est.) |
| Exports: | $92.98 billion (2013 est.) |
| Exports: | $90.23 billion (2012 est.) |
| Exports - commodities: | machinery and equipment 53.5%, other manufactures 31.2%, food products 8.7%, raw materials 3.4%, fuels and electricity 3.9% (2012) |
| Exports - partners: | Germany 25.6%, Romania 6.2%, Slovakia 6.1%, Austria 6%, Italy 4.8%, France 4.8%, UK 4.2% (2012) |
| Imports: | $89.52 billion (2013 est.) |
| Imports: | $87.37 billion (2012 est.) |
| Imports - commodities: | machinery and equipment 45.4%, other manufactures 34.3%, fuels and electricity 12.6%, food products 5.3%, raw materials 2.5% (2012) |
| Imports - partners: | Germany 25.1%, Russia 8.8%, China 7.4%, Austria 7.1%, Slovakia 5.6%, Poland 4.8%, Italy 4.5%, Netherlands 4.2% (2012) |
| Reserves of foreign exchange and gold: | $38.49 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $44.67 billion (31 December 2012 est.) |
| Debt - external: | $170.3 billion (31 December 2013 est.) |
| Debt - external: | $169.3 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $112 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $107 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $45.95 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $41.82 billion (31 December 2012 est.) |
| Exchange rates: | forints (HUF) per US dollar - |
| Exchange rates: | 227.8 (2013 est.) |
| Exchange rates: | 225.1 (2012 est.) |
| Exchange rates: | 207.94 (2010 est.) |
| Exchange rates: | 202.34 (2009) |
| Exchange rates: | 171.8 (2008) |
