| Economy | HUNGARY |
| GDP - composition, by end use: | household consumption: 49.5% |
| GDP - composition, by end use: | government consumption: 19.9% |
| GDP - composition, by end use: | investment in fixed capital: 21.3% |
| GDP - composition, by end use: | investment in inventories: 0.6% |
| GDP - composition, by end use: | exports of goods and services: 92.1% |
| GDP - composition, by end use: | imports of goods and services: -83.5% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.6% |
| GDP - composition, by sector of origin: | industry: 31.8% |
| GDP - composition, by sector of origin: | services: 64.6% (2015 est.) |
| Agriculture - products: | wheat, corn, sunflower seed, potatoes, sugar beets; pigs, cattle, poultry, dairy products |
| Industries: | mining, metallurgy, construction materials, processed foods, textiles, chemicals (especially pharmaceuticals), motor vehicles |
| Industrial production growth rate: | 5.8% (2015 est.) |
| Labor force: | 4.519 million (2015 est.) |
| Labor force - by occupation: | agriculture: 7.1% |
| Labor force - by occupation: | industry: 29.7% |
| Labor force - by occupation: | services: 63.2% (2011 est.) |
| Unemployment rate: | 6.8% (2015 est.) |
| Unemployment rate: | 7.7% (2014 est.) |
| Population below poverty line: | 14.9% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.1% |
| Household income or consumption by percentage share: | highest 10%: 22.6% (2009) |
| Distribution of family income - Gini index: | 30.6 (2013 est.) |
| Distribution of family income - Gini index: | 24.7 (2009) |
| Budget: | revenues: $58.77 billion |
| Budget: | expenditures: $61.21 billion (2015 est.) |
| Taxes and other revenues: | 48.7% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -2% of GDP |
| Budget surplus (+) or deficit (-): | note: Hungary has been under the EU Excessive Deficit Procedure since it joined the EU in 2004; in March 2012 the EU elevated its Excessive Deficit Procedure against Hungary and proposed freezing 30% of the country's Cohesion Funds because 2011 deficit reductions were not achieved in a sustainable manner; in June 2012, the EU lifted the freeze, recognizing that steps had been taken to reduce the deficit; the latest EC forecasts project the Hungarian deficit to increase above 3% both in 2013 and in 2014 due to sluggish growth and the government's fiscal tightening (2015 est.) |
| Public debt: | 75.3% of GDP (2015 est.) |
| Public debt: | 76.2% of GDP (2014 est.) |
| Public debt: | note: general government gross debt is defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.1% (2015 est.) |
| Inflation rate (consumer prices): | -0.2% (2014 est.) |
| Central bank discount rate: | 1.35% (22 July 2015) |
| Central bank discount rate: | 2.1% (23 July 2014) |
| Commercial bank prime lending rate: | 2.9% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 4.45% (31 December 2014 est.) |
| Stock of narrow money: | $46.14 billion (31 December 2015 est.) |
| Stock of narrow money: | $41.44 billion (31 December 2014 est.) |
| Stock of broad money: | $68.87 billion (31 December 2015 est.) |
| Stock of broad money: | $66.91 billion (31 December 2014 est.) |
| Stock of domestic credit: | $69.85 billion (31 December 2015 est.) |
| Stock of domestic credit: | $76.18 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $25.69 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $22.8 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $27.71 billion (31 December 2013 est.) |
| Current account balance: | $6.141 billion (2015 est.) |
| Current account balance: | $3.13 billion (2014 est.) |
| Exports: | $89.44 billion (2015 est.) |
| Exports: | $99.19 billion (2014 est.) |
| Exports - commodities: | machinery and equipment 53.5%, other manufactures 31.2%, food products 8.7%, raw materials 3.4%, fuels and electricity 3.9% (2012 est.) |
| Exports - partners: | Germany 28%, Romania 5.4%, Slovakia 5.1%, Austria 5%, Italy 4.8%, France 4.7%, UK 4%, Czech Republic 4% (2015) |
| Imports: | $84.7 billion (2015 est.) |
| Imports: | $95.81 billion (2014 est.) |
| Imports - commodities: | machinery and equipment 45.4%, other manufactures 34.3%, fuels and electricity 12.6%, food products 5.3%, raw materials 2.5% (2012) |
| Imports - partners: | Germany 25.8%, China 6.7%, Austria 6.6%, Poland 5.5%, Slovakia 5.3%, France 5%, Czech Republic 4.8%, Netherlands 4.6%, Italy 4.5% (2015) |
| Reserves of foreign exchange and gold: | $33.13 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $42.02 billion (31 December 2014 est.) |
| Debt - external: | $127.6 billion (31 December 2015 est.) |
| Debt - external: | $145.3 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $236.2 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $237.1 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $165.8 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $167.2 billion (31 December 2014 est.) |
| Exchange rates: | forints (HUF) per US dollar - |
| Exchange rates: | 279.33 (2015 est.) |
| Exchange rates: | 232.6 (2014 est.) |
| Exchange rates: | 232.6 (2013 est.) |
| Exchange rates: | 225.1 (2012 est.) |
| Exchange rates: | 201.05 (2011 est.) |
