| Economy | Hungary |
| Imports - commodities: | machinery and equipment 45.4%, other manufactures 34.3%, fuels and electricity 12.6%, food products 5.3%, raw materials 2.5% (2012) |
| Imports - partners: | Germany 26.2%, Austria 6.3%, China 5.9%, Poland 5.5%, Slovakia 5.3%, Netherlands 5%, Czech Republic 4.8%, Italy 4.7%, France 4% (2017) |
| Reserves of foreign exchange and gold: | $28 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $25.82 billion (31 December 2016 est.) |
| Debt - external: | $138.1 billion (31 December 2017 est.) |
| Debt - external: | $131.3 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $290 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $298.2 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $212 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $222.6 billion (31 December 2016 est.) |
| Exchange rates: | forints (HUF) per US dollar - |
| Exchange rates: | 279.5 (2017 est.) |
| Exchange rates: | 281.52 (2016 est.) |
| Exchange rates: | 281.52 (2015 est.) |
| Exchange rates: | 279.33 (2014 est.) |
| Exchange rates: | 232.6 (2013 est.) |
