| Economy | Hungary |
| Unemployment rate: | 11.2% (2012 est.) |
| Unemployment rate: | 10.9% (2011 est.) |
| Population below poverty line: | 13.9% (2010) |
| Household income or consumption by percentage share: | lowest 10%: 3.1% |
| Household income or consumption by percentage share: | highest 10%: 22.6% (2009) |
| Distribution of family income - Gini index: | 24.7 (2009) |
| Distribution of family income - Gini index: | 24.4 (1998) |
| Investment (gross fixed): | 15.6% of GDP (2012 est.) |
| Budget: | revenues: $55.05 billion |
| Budget: | expenditures: $58.55 billion (2012 est.) |
| Taxes and other revenues: | 42.7% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -2.7% of GDP |
| Budget surplus (+) or deficit (-): | note: in 2011, the Government decided to redirect funds from the country's obligatory private pension scheme into state coffers in order to pay off government debt, effectively renationalizing the private pension system; the 2.9% deficit shown here does not include this change; including this change would result in a budget surplus of 3.6%; the EU renewed its Excessive Deficit Procedure against Hungary in January 2012, because it expects the 2013 deficit to reach 3.7%; the primary criticism of Hungary's deficit reductions in 2011 and 2012 was that they were not achieved in a sustainable manner (2012 est.) |
| Public debt: | 81.3% of GDP (2012 est.) |
| Public debt: | 80.8% of GDP (2011 est.) |
| Public debt: | note: general government gross debt is defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and government, state government, local government, and social security funds. |
| Inflation rate (consumer prices): | 5.6% (2012 est.) |
| Inflation rate (consumer prices): | 3.9% (2011 est.) |
| Central bank discount rate: | 5.75% (18 December 2012) |
| Central bank discount rate: | 7% (31 December 2011) |
| Commercial bank prime lending rate: | 8.5% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 8.34% (31 December 2011 est.) |
| Stock of narrow money: | $30.63 billion (31 December 2012 est.) |
| Stock of narrow money: | $30.51 billion (31 December 2011 est.) |
| Stock of broad money: | $74.5 billion (31 December 2011 est.) |
| Stock of broad money: | $80.68 billion (31 December 2010 est.) |
| Stock of domestic credit: | $85.67 billion (31 December 2012 est.) |
| Stock of domestic credit: | $88.6 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $18.77 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $27.71 billion (31 December 2010) |
| Market value of publicly traded shares: | $28.29 billion (31 December 2009) |
| Agriculture - products: | wheat, corn, sunflower seed, potatoes, sugar beets; pigs, cattle, poultry, dairy products |
| Industrial production growth rate: | 5.4% (2011 est.) |
| Current account balance: | $2.146 billion (2012 est.) |
| Current account balance: | $2.055 billion (2011 est.) |
| Exports: | $105.1 billion (2012 est.) |
| Exports: | $107.1 billion (2011 est.) |
| Exports - commodities: | machinery and equipment 55.3%, other manufactures 30.6%, food products 7.4%, raw materials 3.2%, fuels and electricity 3.3% (2009 est.) |
| Exports - partners: | Germany 25%, Romania 5.7%, Austria 5.4%, Slovakia 5.4%, Italy 5%, France 4.8%, UK 4.6% (2011) |
| Imports: | $100.8 billion (2012 est.) |
| Imports: | $101.5 billion (2011 est.) |
| Imports - commodities: | machinery and equipment 44.7%, other manufactures 41.3%, fuels and electricity 5.1%, food products, raw materials 6.7% |
| Imports - partners: | Germany 24.7%, Russia 8.6%, China 8.4%, Austria 6.2%, Slovakia 4.9%, Poland 4.7%, Netherlands 4.4%, Italy 4.3% (2011) |
| Reserves of foreign exchange and gold: | $44.9 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $48.84 billion (31 December 2011 est.) |
| Debt - external: | $170 billion (31 December 2012 est.) |
| Debt - external: | $185 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $76.62 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $74.46 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $26.39 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $24.59 billion (31 December 2011 est.) |
| Exchange rates: | forints (HUF) per US dollar - |
| Exchange rates: | 229.5 (2012 est.) |
| Exchange rates: | 201.05 (2011 est.) |
| Exchange rates: | 207.94 (2010 est.) |
| Exchange rates: | 202.34 (2009) |
| Exchange rates: | 171.8 (2008) |
| Fiscal year: | calendar year |
