| Economy | SOUTH AFRICA |
| Budget: | revenues: $87.1 billion |
| Budget: | expenditures: $102.2 billion (2014 est.) |
| Taxes and other revenues: | 25.5% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -4.4% of GDP (2014 est.) |
| Public debt: | 47.3% of GDP (2014 est.) |
| Public debt: | 46.1% of GDP (2013 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 6.1% (2014 est.) |
| Inflation rate (consumer prices): | 5.7% (2013 est.) |
| Central bank discount rate: | 5.75% (31 December 2014) |
| Central bank discount rate: | 7% (31 December 2009) |
| Commercial bank prime lending rate: | 9.25% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 8.5% (31 December 2013 est.) |
| Stock of narrow money: | $112.2 billion (31 December 2014 est.) |
| Stock of narrow money: | $108 billion (31 December 2013 est.) |
| Stock of broad money: | $204.1 billion (31 December 2014 est.) |
| Stock of broad money: | $195.6 billion (31 December 2013 est.) |
| Stock of domestic credit: | $256.1 billion (31 December 2014 est.) |
| Stock of domestic credit: | $246.9 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $1.007 trillion (31 December 2013) |
| Market value of publicly traded shares: | $1.038 trillion (31 December 2012) |
| Market value of publicly traded shares: | $855.7 billion (31 December 2011) |
| Current account balance: | -$19.06 billion (2014 est.) |
| Current account balance: | -$20.45 billion (2013 est.) |
| Exports: | $97.9 billion (2014 est.) |
| Exports: | $95.15 billion (2013 est.) |
| Exports - commodities: | gold, diamonds, platinum, other metals and minerals, machinery and equipment |
| Exports - partners: | China 32%, US 6.5%, Japan 5%, India 4.7% (2013) |
| Imports: | $102.2 billion (2014 est.) |
| Imports: | $102.8 billion (2013 est.) |
| Imports - commodities: | machinery and equipment, chemicals, petroleum products, scientific instruments, foodstuffs |
| Imports - partners: | China 16.2%, Germany 9.5%, Saudi Arabia 8%, US 7%, India 4.8% (2013) |
| Reserves of foreign exchange and gold: | $50.55 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $49.69 billion (31 December 2013 est.) |
| Debt - external: | $143 billion (31 December 2014 est.) |
| Debt - external: | $142.2 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $177.5 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $171.6 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $122.9 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $117.3 billion (31 December 2013 est.) |
| Exchange rates: | rand (ZAR) per US dollar - |
| Exchange rates: | 10.79 (2014 est.) |
| Exchange rates: | 9.6442 (2013 est.) |
| Exchange rates: | 8.2 (2012 est.) |
| Exchange rates: | 7.2597 (2011 est.) |
| Exchange rates: | 7.3212 (2010 est.) |
