| Economy | South Africa |
| Market value of publicly traded shares: | $855.7 billion (31 December 2011) |
| Market value of publicly traded shares: | $1.013 trillion (31 December 2010) |
| Current account balance: | $-24.07 billion (2012 est.) |
| Current account balance: | $-13.68 billion (2011 est.) |
| Exports: | $93.48 billion (2012 est.) |
| Exports: | $102.9 billion (2011 est.) |
| Exports - commodities: | gold, diamonds, platinum, other metals and minerals, machinery and equipment |
| Exports - partners: | China 11.8%, US 8.3%, Japan 6%, Germany 5.7%, India 4.2% (2012) |
| Imports: | $102.6 billion (2012 est.) |
| Imports: | $100.4 billion (2011 est.) |
| Imports - commodities: | machinery and equipment, chemicals, petroleum products, scientific instruments, foodstuffs |
| Imports - partners: | China 14.4%, Germany 10.1%, Saudi Arabia 7.7%, US 7.4%, Japan 4.6%, India 4.5% (2012) |
| Reserves of foreign exchange and gold: | $50.7 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $48.87 billion (31 December 2011 est.) |
| Debt - external: | $130.4 billion (31 December 2012 est.) |
| Debt - external: | $113.5 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $139 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $134.4 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $82.82 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $78.53 billion (31 December 2011 est.) |
| Exchange rates: | rand (ZAR) per US dollar - |
| Exchange rates: | 8.2 (2012 est.) |
| Exchange rates: | 7.26 (2011 est.) |
| Exchange rates: | 7.32 (2010 est.) |
| Exchange rates: | 8.42 (2009) |
| Exchange rates: | 7.96 (2008) |
