| Economy | Korea, South |
| Budget surplus (+) or deficit (-): | 1.5% of GDP (2012 est.) |
| Public debt: | 35.1% of GDP (2012 est.) |
| Public debt: | 36.2% of GDP (2011 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.2% (2012 est.) |
| Inflation rate (consumer prices): | 4% (2011 est.) |
| Central bank discount rate: | 1.5% (31 December 2011) |
| Central bank discount rate: | 1.25% (31 December 2009) |
| Commercial bank prime lending rate: | 5.39% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 5.77% (31 December 2011 est.) |
| Stock of narrow money: | $392 billion (31 December 2012 est.) |
| Stock of narrow money: | $369.6 billion (31 December 2011 est.) |
| Stock of broad money: | $1.596 trillion (31 December 2012) |
| Stock of broad money: | $1.484 trillion (31 December 2011) |
| Stock of domestic credit: | $1.219 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $1.098 trillion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.024 trillion (31 December 2012) |
| Market value of publicly traded shares: | $994.3 billion (31 December 2011) |
| Market value of publicly traded shares: | $1.089 trillion (31 December 2010) |
| Current account balance: | $43.34 billion (2012 est.) |
| Current account balance: | $26.07 billion (2011 est.) |
| Exports: | $552.7 billion (2012 est.) |
| Exports: | $551.8 billion (2011 est.) |
| Exports - commodities: | semiconductors, wireless telecommunications equipment, motor vehicles, computers, steel, ships, petrochemicals |
| Exports - partners: | China 24.4%, US 10.1%, Japan 7.1% (2011 est.) |
| Imports: | $514.2 billion (2012 est.) |
| Imports: | $520.1 billion (2011 est.) |
| Imports - commodities: | machinery, electronics and electronic equipment, oil, steel, transport equipment, organic chemicals, plastics |
| Imports - partners: | China 16.5%, Japan 13%, US 8.5%, Saudi Arabia 7.1%, Australia 5% (2011 est.) |
| Reserves of foreign exchange and gold: | $327 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $306.4 billion (31 December 2011 est.) |
| Debt - external: | $420.4 billion (31 December 2012 est.) |
| Debt - external: | $442.5 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $147.2 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $133.7 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $327.5 billion (31 December 2012) |
| Stock of direct foreign investment - abroad: | $190.4 billion (31 December 2011) |
| Exchange rates: | South Korean won (KRW) per US dollar - |
| Exchange rates: | 1,126.47 (2012 est.) |
| Exchange rates: | 1,108.29 (2011 est.) |
| Exchange rates: | 1,156.1 (2010 est.) |
| Exchange rates: | 1,276.93 (2009) |
| Exchange rates: | 1,101.7 (2008) |
