| Economy | KOREA, SOUTH |
| GDP - composition, by end use: | government consumption: 15.1% |
| GDP - composition, by end use: | investment in fixed capital: 29.1% |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 50.6% |
| GDP - composition, by end use: | imports of goods and services: -45.3% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.3% |
| GDP - composition, by sector of origin: | industry: 38.3% |
| GDP - composition, by sector of origin: | services: 59.4% (2014 est.) |
| Agriculture - products: | rice, root crops, barley, vegetables, fruit; cattle, pigs, chickens, milk, eggs; fish |
| Industries: | electronics, telecommunications, automobile production, chemicals, shipbuilding, steel |
| Industrial production growth rate: | 0% (2014 est.) |
| Labor force: | 26.27 million (2014 est.) |
| Labor force - by occupation: | agriculture: 5.7% |
| Labor force - by occupation: | industry: 24% |
| Labor force - by occupation: | services: 70.4% (2014 est.) |
| Unemployment rate: | 3.5% (2014 est.) |
| Unemployment rate: | 3.1% (2013 est.) |
| Population below poverty line: | 14.6% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 6.8% |
| Household income or consumption by percentage share: | highest 10%: 37.8% (Q4 2014) |
| Distribution of family income - Gini index: | 30.2 (2013 est.) |
| Distribution of family income - Gini index: | 35.8 (2000) |
| Budget: | revenues: $350.7 billion |
| Budget: | expenditures: $337.9 billion (2014 est.) |
| Taxes and other revenues: | 24.9% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | 0.9% of GDP (2014 est.) |
| Public debt: | 34.2% of GDP (2014 est.) |
| Public debt: | 33.8% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.3% (2014 est.) |
| Inflation rate (consumer prices): | 1.3% (2013 est.) |
| Central bank discount rate: | 2% (31 December 2014) |
| Central bank discount rate: | 2.5% (31 December 2013) |
| Commercial bank prime lending rate: | 4.5% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 4.64% (31 December 2013 est.) |
| Stock of narrow money: | $556.3 billion (31 December 2014 est.) |
| Stock of narrow money: | $470.9 billion (31 December 2013 est.) |
| Stock of broad money: | $1.973 trillion (31 December 2014 est.) |
| Stock of broad money: | $1.754 trillion (31 December 2013 est.) |
| Stock of domestic credit: | $1.187 trillion (31 December 2014 est.) |
| Stock of domestic credit: | $1.055 trillion (31 December 2013 est.) |
| Market value of publicly traded shares: | $1.269 trillion (31 December 2014 est.) |
| Market value of publicly traded shares: | $1.193 trillion (31 December 2013) |
| Market value of publicly traded shares: | $1.121 trillion (28 December 2012 est.) |
| Current account balance: | $89.22 billion (2014 est.) |
| Current account balance: | $81.15 billion (2013 est.) |
| Exports: | $572.7 billion (2014 est.) |
| Exports: | $559.6 billion (2013 est.) |
| Exports - commodities: | semiconductors, petrochemicals, automobile/auto parts, ships, wireless communication equipment, flat display displays, steel, electronics, plastics, computers |
| Exports - partners: | China 25.4%, US 12.3%, Japan 5.6%, Hong Kong 4.8%, Singapore 4.2% (2014 est.) |
| Imports: | $525.5 billion (2014 est.) |
| Imports: | $515.6 billion (2013 est.) |
| Imports - commodities: | crude oil/petroleum products, semiconductors, natural gas, coal, steel, computers, wireless communication equipment, automobiles, fine chemical, textiles |
| Imports - partners: | China 17.1%, Japan 10.2%, US 8.7%, Saudi Arabia 7%, Qatar 4.9%, Germany 4.1% (2014 est.) |
| Reserves of foreign exchange and gold: | $363.6 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $346.5 billion (31 December 2013 est.) |
| Debt - external: | $425.4 billion (31 December 2014 est.) |
| Debt - external: | $423.5 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $152.3 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $140.7 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $278.8 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $254.1 billion (31 December 2013 est.) |
| Exchange rates: | South Korean won (KRW) per US dollar - |
| Exchange rates: | 1,053 (2014 est.) |
| Exchange rates: | 1,095 (2013 est.) |
| Exchange rates: | 1,126.47 (2012 est.) |
| Exchange rates: | 1,108.29 (2011 est.) |
| Exchange rates: | 1,156.1 (2010 est.) |
