| Economy | Korea, South |
| GDP - per capita (PPP): | $27,631 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 36.6% of GDP (2017 est.) |
| Gross national saving: | 36.3% of GDP (2016 est.) |
| Gross national saving: | 36.6% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.2% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 39.3% (2017 est.) |
| GDP - composition, by sector of origin: | services: 58.3% (2017 est.) |
| GDP - composition, by end use: | household consumption: 48.1% (2017 est.) |
| GDP - composition, by end use: | government consumption: 15.3% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 31.1% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 43.1% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -37.7% (2017 est.) |
| Ease of Doing Business Index scores: | 93.4 (2020) |
| Agriculture - products: | rice, root crops, barley, vegetables, fruit, cattle, pigs, chickens, milk, eggs, fish |
| Industries: | electronics, telecommunications, automobile production, chemicals, shipbuilding, steel |
| Industrial production growth rate: | 4.6% (2017 est.) |
| Labor force: | 26.839 million (2020 est.) |
| Labor force - by occupation: | agriculture: 4.8% |
| Labor force - by occupation: | industry: 24.6% |
| Labor force - by occupation: | services: 70.6% (2017 est.) |
| Unemployment rate: | 3.76% (2019 est.) |
| Unemployment rate: | 3.85% (2018 est.) |
| Population below poverty line: | 14.4% (2016 est.) |
| Household income or consumption by percentage share: | lowest 10%: 6.8% |
| Household income or consumption by percentage share: | highest 10%: 48.5% (2015 est.) |
| Budget: | revenues: 357.1 billion (2017 est.) |
| Budget: | expenditures: 335.8 billion (2017 est.) |
| Taxes and other revenues: | 23.2% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 1.4% (of GDP) (2017 est.) |
| Public debt: | 39.5% of GDP (2017 est.) |
| Public debt: | 39.9% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Current account balance: | $59.971 billion (2019 est.) |
| Current account balance: | $77.467 billion (2018 est.) |
| Exports: | $683.996 billion (2019 est.) |
| Exports: | $672.442 billion (2018 est.) |
| Exports: | $646.728 billion (2017 est.) |
| Exports - partners: | China 25.1%, US 12.2%, Vietnam 8.2%, Hong Kong 6.9%, Japan 4.7% (2017) |
| Exports - commodities: | semiconductors, petrochemicals, automobile/auto parts, ships, wireless communication equipment, flat displays, steel, electronics, plastics, computers |
| Imports: | $599.705 billion (2019 est.) |
| Imports: | $603.535 billion (2018 est.) |
| Imports: | $593.371 billion (2017 est.) |
| Imports - commodities: | crude oil/petroleum products, semiconductors, natural gas, coal, steel, computers, wireless communication equipment, automobiles, fine chemicals, textiles |
| Imports - partners: | China 20.5%, Japan 11.5%, US 10.5%, Germany 4.2%, Saudi Arabia 4.1% (2017) |
| Reserves of foreign exchange and gold: | $389.2 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $371.1 billion (31 December 2016 est.) |
| Debt - external: | $384.6 billion (31 December 2017 est.) |
| Debt - external: | $384.1 billion (31 December 2016 est.) |
| Exchange rates: | South Korean won (KRW) per US dollar - |
| Exchange rates: | 1,084.65 (2020 est.) |
| Exchange rates: | 1,189.9 (2019 est.) |
| Exchange rates: | 1,119.8 (2018 est.) |
| Exchange rates: | 1,130.95 (2014 est.) |
| Exchange rates: | 1,052.96 (2013 est.) |
