| Economy | Korea, South |
| Public debt: | 35.8% of GDP (2013 est.) |
| Public debt: | 35.5% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.1% (2013 est.) |
| Inflation rate (consumer prices): | 2.2% (2012 est.) |
| Central bank discount rate: | 2.5% (31 December 2013) |
| Central bank discount rate: | 2.75% (31 December 2012) |
| Commercial bank prime lending rate: | 4.7% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 5.39% (31 December 2012 est.) |
| Stock of narrow money: | $465.2 billion (31 December 2013 est.) |
| Stock of narrow money: | $426 billion (31 December 2012 est.) |
| Stock of broad money: | $1.764 trillion (31 December 2013 est.) |
| Stock of broad money: | $1.664 trillion (31 December 2012 est.) |
| Stock of domestic credit: | $1.266 trillion (31 December 2013 est.) |
| Stock of domestic credit: | NA% (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.068 trillion (31 December 2013 est.) |
| Market value of publicly traded shares: | $1.078 trillion (28 December 2012) |
| Market value of publicly traded shares: | $904.7 billion (29December 2011 est.) |
| Current account balance: | $55.69 billion (2013 est.) |
| Current account balance: | $43.34 billion (2012 est.) |
| Exports: | $557.3 billion (2013 est.) |
| Exports: | $547.9 billion (2012 est.) |
| Exports - commodities: | semiconductors, wireless telecommunications equipment, motor vehicles, auto parts, computers, display, home appliances, wire telecommunication equipment, steel, ships, petrochemicals |
| Exports - partners: | China 24.5%, US 10.7%, Japan 7.1%, Hong Kong 6%, Singapore 4.2% (2012 est.) |
| Imports: | $516.6 billion (2013 est.) |
| Imports: | $519.6 billion (2012 est.) |
| Imports - commodities: | machinery, electronics and electronic equipment, oil, steel, optical instruments, transport equipment, organic chemicals, plastics |
| Imports - partners: | China 15.6%, Japan 12.4%, US 8.3%, Saudi Arabia 7.6%, Qatar 4.9%, Australia 4.4% (2011 est.) |
| Reserves of foreign exchange and gold: | $341.8 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $327 billion (31 December 2012 est.) |
| Debt - external: | $430.9 billion (31 December 2013 est.) |
| Debt - external: | $425.1 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $152.3 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $147.2 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $223.2 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $196.4 billion (31 December 2012 est.) |
| Exchange rates: | South Korean won (KRW) per US dollar - |
| Exchange rates: | 1,107.3 (2013 est.) |
| Exchange rates: | 1,126.47 (2012 est.) |
| Exchange rates: | 1,156.1 (2010 est.) |
| Exchange rates: | 1,276.93 (2009) |
| Exchange rates: | 1,101.7 (2008) |
