| Economy | Malta |
| Household income or consumption by percentage share: | lowest 10%: NA |
| Household income or consumption by percentage share: | highest 10%: NA |
| Distribution of family income - Gini index: | 28.1 (2015) |
| Distribution of family income - Gini index: | 27.7 (2014) |
| Budget: | revenues: 5.076 billion (2017 est.) |
| Budget: | expenditures: 4.583 billion (2017 est.) |
| Taxes and other revenues: | 40.4% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 3.9% (of GDP) (2017 est.) |
| Public debt: | 50.7% of GDP (2017 est.) |
| Public debt: | 56.3% of GDP (2016 est.) |
| Public debt: | note: Malta reports public debt at nominal value outstanding at the end of the year, according to guidelines set out in the Maastricht Treaty for general government gross debt; the data include the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); general government comprises the central, state, and local governments, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.3% (2017 est.) |
| Inflation rate (consumer prices): | 0.9% (2016 est.) |
| Central bank discount rate: | -0.35% (31 December 2016 est.) |
| Central bank discount rate: | -0.2% (31 December 2015) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 3.7% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 5.06% (31 December 2016 est.) |
| Stock of narrow money: | $17.93 billion (31 December 2017 est.) |
| Stock of narrow money: | $14.28 billion (31 December 2016 est.) |
| Stock of narrow money: | note: see entry for the EU for money supply for the entire euro area; the European Central Bank controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $17.93 billion (31 December 2017 est.) |
| Stock of broad money: | $14.28 billion (31 December 2016 est.) |
| Stock of domestic credit: | $13.97 billion (31 December 2017 est.) |
| Stock of domestic credit: | $11.99 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $4.632 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $4.468 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $3.353 billion (31 December 2014 est.) |
| Current account balance: | $1.712 billion (2017 est.) |
| Current account balance: | $788 million (2016 est.) |
| Exports: | $3.272 billion (2017 est.) |
| Exports: | $2.493 billion (2016 est.) |
| Exports - partners: | Germany 17.3%, France 10.2%, Italy 9.4%, Singapore 5.9%, Hong Kong 5.8%, US 5.7%, Japan 4.9%, Libya 4.5% (2017) |
| Exports - commodities: | machinery and mechanical appliances; mineral fuels, oils and petroleum products; pharmaceutical products; books and newspapers; aircraft/spacecraft and parts; toys, games, and sports equipment |
| Imports: | $4.996 billion (2017 est.) |
| Imports: | $4.965 billion (2016 est.) |
| Imports - commodities: | mineral fuels, oils and products; electrical machinery; aircraft/spacecraft and parts thereof; machinery and mechanical appliances; plastic and other semi-manufactured goods; vehicles and parts |
| Imports - partners: | Italy 23%, Germany 7.9%, UK 7.7%, Spain 5%, Canada 4.5%, US 4.3%, France 4.2% (2017) |
| Reserves of foreign exchange and gold: | $833 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $677.1 million (31 December 2016 est.) |
| Debt - external: | $90.98 billion (September 2016 est.) |
| Debt - external: | $99.02 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $166.1 million (1 June 2016 est.) |
| Stock of direct foreign investment - at home: | $155.5 million (1 June 2015 est.) |
| Stock of direct foreign investment - abroad: | $65.49 million (June 2015 est.) |
| Stock of direct foreign investment - abroad: | $64.77 million (31 June 2014 est.) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.885 (2017 est.) |
| Exchange rates: | 0.903 (2016 est.) |
| Exchange rates: | 0.9214 (2015 est.) |
| Exchange rates: | 0.885 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
