| Economy | Malta |
| Taxes and other revenues: | 50.8% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | 5.5% of GDP (2013 est.) |
| Public debt: | 75.3% of GDP (2013 est.) |
| Public debt: | 70.8% of GDP (2012 est.) |
| Public debt: | note: Malta reports public debt at nominal value outstanding at the end of the year, according to guidelines set out in the Maastricht Treaty for general government gross debt; the data include the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); general government comprises the central government, state government, local government and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1% (2013 est.) |
| Inflation rate (consumer prices): | 3.2% (2012 est.) |
| Central bank discount rate: | 0.75% (31 December 2013) |
| Central bank discount rate: | 1.5% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 0.25% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 0.75% (31 December 2012 est.) |
| Stock of narrow money: | $8.932 billion (31 December 2013 est.) |
| Stock of narrow money: | $7.892 billion (31 December 2012 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the EMU; individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $15.44 billion (31 December 2013 est.) |
| Stock of broad money: | $13.88 billion (31 December 2012 est.) |
| Stock of domestic credit: | $19.16 billion (31 December 2013 est.) |
| Stock of domestic credit: | $20.72 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $3.631 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $3.424 billion (31 December 2011) |
| Market value of publicly traded shares: | $2.399 billion (31 December 2010 est.) |
| Current account balance: | $133.1 million (2013 est.) |
| Current account balance: | $181.5 million (2012 est.) |
| Exports: | $5.105 billion (2013 est.) |
| Exports: | $5.893 billion (2012 est.) |
| Exports - commodities: | machinery and mechanical appliances; mineral fuels, oils and products; pharmaceutical products; printed books and newspapers; aircraft/spacecraft and parts; toys, games, and sports equipment |
| Exports - partners: | Germany 8.9%, Singapore 7.1%, Libya 6.2%, France 6.2%, United States 4.4% (2013 est.) |
| Imports: | $7.436 billion (2013 est.) |
| Imports: | $8.209 billion (2012 est.) |
| Imports - commodities: | mineral fuels, oils and products; electrical machinery; aircraft/spacecraft and parts thereof; machinery and mechanical appliances; plastic and other semi-manufactured goods; vehicles and parts thereof |
| Imports - partners: | Italy 24.6%, Germany 5.6%, United Kingdom 5.4%, Russia 5.1%, France 5% (2013 est.) |
| Reserves of foreign exchange and gold: | $377 million (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $481.5 million (31 December 2012 est.) |
| Debt - external: | $51.08 billion (30 September 2013 est.) |
| Debt - external: | $46.72 billion (31 December 2012) |
| Stock of direct foreign investment - at home: | $15.17 billion (31 June 2013) |
| Stock of direct foreign investment - at home: | $16.4 billion (31 December 2012) |
| Stock of direct foreign investment - abroad: | $1.442 billion (31 June 2013 est.) |
| Stock of direct foreign investment - abroad: | $1.471 billion (31 December 2012) |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.7752 (2012 est.) |
| Exchange rates: | 0.755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
