| Economy | Bangladesh |
| Debt - external: | $29.53 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $7.04 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $6.64 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $110.1 million (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $108.1 million (31 December 2012 est.) |
| Exchange rates: | taka (BDT) per US dollar - |
| Exchange rates: | 78.19 (2013 est.) |
| Exchange rates: | 81.863 (2012 est.) |
| Exchange rates: | 69.649 (2010 est.) |
| Exchange rates: | 69.04 (2009) |
| Exchange rates: | 68.554 (2008) |
