| Economy | Bangladesh |
| Inflation rate (consumer prices): | 5.7% (2016 est.) |
| Central bank discount rate: | 5% (11 December 2017) |
| Central bank discount rate: | 5% (30 October 2015) |
| Commercial bank prime lending rate: | 9.54% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 10.41% (31 December 2016 est.) |
| Stock of narrow money: | $28.68 billion (31 December 2017 est.) |
| Stock of narrow money: | $25.98 billion (31 December 2016 est.) |
| Stock of broad money: | $28.68 billion (31 December 2017 est.) |
| Stock of broad money: | $25.98 billion (31 December 2016 est.) |
| Stock of domestic credit: | $152.1 billion (31 December 2017 est.) |
| Stock of domestic credit: | $135.3 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $92.33 billion (30 September 2017 est.) |
| Market value of publicly traded shares: | $77.99 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $71.73 billion (31 December 2015 est.) |
| Current account balance: | -$5.322 billion (2017 est.) |
| Current account balance: | $1.391 billion (2016 est.) |
| Exports: | $35.3 billion (2017 est.) |
| Exports: | $34.14 billion (2016 est.) |
| Exports - partners: | Germany 12.9%, US 12.2%, UK 8.7%, Spain 5.3%, France 5.1%, Italy 4.1% (2017) |
| Exports - commodities: | garments, knitwear, agricultural products, frozen food (fish and seafood), jute and jute goods, leather |
| Imports: | $47.56 billion (2017 est.) |
| Imports: | $40.28 billion (2016 est.) |
| Imports - commodities: | cotton, machinery and equipment, chemicals, iron and steel, foodstuffs |
| Imports - partners: | China 21.9%, India 15.3%, Singapore 5.7% (2017) |
| Reserves of foreign exchange and gold: | $33.42 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $32.28 billion (31 December 2016 est.) |
| Debt - external: | $50.26 billion (31 December 2017 est.) |
| Debt - external: | $41.85 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $14.62 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $13.24 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $369.6 million (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $228.5 million (31 December 2016 est.) |
| Exchange rates: | taka (BDT) per US dollar - |
| Exchange rates: | 80.69 (2017 est.) |
| Exchange rates: | 78.468 (2016 est.) |
| Exchange rates: | 78.468 (2015 est.) |
| Exchange rates: | 77.947 (2014 est.) |
| Exchange rates: | 77.614 (2013 est.) |
