| Economy | Zambia |
| Budget: | expenditures: $6.687 billion (2013 est.) |
| Taxes and other revenues: | 21.6% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -8.4% of GDP (2013 est.) |
| Public debt: | 31.8% of GDP (2013 est.) |
| Public debt: | 29.5% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 7.1% (2013 est.) |
| Inflation rate (consumer prices): | 6.6% (2012 est.) |
| Central bank discount rate: | 8.39% (31 December 2009) |
| Central bank discount rate: | 14.49% (31 December 2008) |
| Commercial bank prime lending rate: | 10.4% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 12.15% (31 December 2012 est.) |
| Stock of narrow money: | $2.299 billion (31 December 2013 est.) |
| Stock of narrow money: | $2.185 billion (31 December 2012 est.) |
| Stock of broad money: | $5.047 billion (31 December 2013 est.) |
| Stock of broad money: | $4.86 billion (31 December 2012 est.) |
| Stock of domestic credit: | $5.458 billion (31 December 2013 est.) |
| Stock of domestic credit: | $3.833 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $3.004 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $4.009 billion (31 December 2011) |
| Market value of publicly traded shares: | $NA (31 December 2010 est.) |
| Current account balance: | -$1.25 billion (2013 est.) |
| Current account balance: | -$189.9 million (2012 est.) |
| Exports: | $8.547 billion (2013 est.) |
| Exports: | $9.414 billion (2012 est.) |
| Exports - commodities: | copper/cobalt, cobalt, electricity; tobacco, flowers, cotton |
| Exports - partners: | China 43.4%, South Africa 7.2%, Democratic Republic of the Congo 6.7%, South Korea 5.4%, India 4.7%, UAE 4.3%, Egypt 4.1% (2012) |
| Imports: | $8.216 billion (2013 est.) |
| Imports: | $7.961 billion (2012 est.) |
| Imports - commodities: | machinery, transportation equipment, petroleum products, electricity, fertilizer, foodstuffs, clothing |
| Imports - partners: | South Africa 36.7%, Democratic Republic of the Congo 19.8%, China 10.4%, Kuwait 6% (2012) |
| Reserves of foreign exchange and gold: | $2.833 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $3.042 billion (31 December 2012 est.) |
| Debt - external: | $5.985 billion (31 December 2013 est.) |
| Debt - external: | $5.618 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Zambian kwacha (ZMK) per US dollar - |
| Exchange rates: | 5.3 (2013 est.) |
| Exchange rates: | 5.1 (2012 est.) |
| Exchange rates: | 4,797.1 (2010 est.) |
| Exchange rates: | 5,046.1 (2009) |
| Exchange rates: | 3,512.9 (2008) |
