| Economy | ZAMBIA |
| Market value of publicly traded shares: | $3.004 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $4.009 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $2.817 billion (31 December 2010 est.) |
| Current account balance: | -$768 million (2015 est.) |
| Current account balance: | $581 million (2014 est.) |
| Exports: | $6.998 billion (2015 est.) |
| Exports: | $10.22 billion (2014 est.) |
| Exports - commodities: | copper/cobalt, cobalt, electricity; tobacco, flowers, cotton |
| Exports - partners: | China 25.5%, Democratic Republic of the Congo 13%, South Africa 6.4%, South Korea 4.9%, India 4.3% (2015) |
| Imports: | $7.711 billion (2015 est.) |
| Imports: | $8.595 billion (2014 est.) |
| Imports - commodities: | machinery, transportation equipment, petroleum products, electricity, fertilizer, foodstuffs, clothing |
| Imports - partners: | South Africa 34.5%, Democratic Republic of the Congo 18.2%, Kenya 9.7%, China 7.3%, India 4.4% (2015) |
| Reserves of foreign exchange and gold: | $2.968 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $3.078 billion (31 December 2014 est.) |
| Debt - external: | $8.88 billion (31 December 2015 est.) |
| Debt - external: | $7.367 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Zambian kwacha (ZMK) per US dollar - |
| Exchange rates: | 8.6 (2015 est.) |
| Exchange rates: | 6.2 (2014 est.) |
| Exchange rates: | 6.2 (2013 est.) |
| Exchange rates: | 5.1 (2012 est.) |
| Exchange rates: | 4,860.7 (2011 est.) |
