| Economy | GAMBIA, THE |
| GDP - per capita (PPP): | $1,700 (2016 est.) |
| GDP - per capita (PPP): | $1,700 (2015 est.) |
| GDP - per capita (PPP): | $1,700 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 9.8% of GDP (2016 est.) |
| Gross national saving: | 4.7% of GDP (2015 est.) |
| Gross national saving: | 10.1% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 86.3% |
| GDP - composition, by end use: | government consumption: 10.4% |
| GDP - composition, by end use: | investment in fixed capital: 19.9% |
| GDP - composition, by end use: | investment in inventories: -7% |
| GDP - composition, by end use: | exports of goods and services: 19.9% |
| GDP - composition, by end use: | imports of goods and services: -29.5% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 21% |
| GDP - composition, by sector of origin: | industry: 13.8% |
| GDP - composition, by sector of origin: | services: 65.2% (2016 est.) |
| Agriculture - products: | rice, millet, sorghum, peanuts, corn, sesame, cassava (manioc, tapioca), palm kernels; cattle, sheep, goats |
| Industries: | peanuts, fish, hides, tourism, beverages, agricultural machinery assembly, woodworking, metalworking, clothing |
| Industrial production growth rate: | -6.1% (2016 est.) |
| Labor force: | 777,100 (2007 est.) |
| Labor force - by occupation: | agriculture: 75% |
| Labor force - by occupation: | industry: 19% |
| Labor force - by occupation: | services: 6% (1996) |
| Unemployment rate: | NA% |
| Population below poverty line: | 48.4% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2% |
| Household income or consumption by percentage share: | highest 10%: 36.9% (2003) |
| Distribution of family income - Gini index: | 50.2 (1998) |
| Budget: | revenues: $192.9 million |
| Budget: | expenditures: $380.6 million (2016 est.) |
| Taxes and other revenues: | 20% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -19.5% of GDP (2016 est.) |
| Public debt: | 116.1% of GDP (2016 est.) |
| Public debt: | 110.2% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 7.2% (2016 est.) |
| Inflation rate (consumer prices): | 6.8% (2015 est.) |
| Central bank discount rate: | 9% (31 December 2009) |
| Central bank discount rate: | 11% (31 December 2008) |
| Commercial bank prime lending rate: | 30.4% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 30.1% (31 December 2015 est.) |
| Stock of narrow money: | $279.6 million (31 December 2016 est.) |
| Stock of narrow money: | $261.2 million (31 December 2015 est.) |
| Stock of broad money: | $529.9 million (31 December 2016 est.) |
| Stock of broad money: | $507.4 million (31 December 2015 est.) |
| Stock of domestic credit: | $496.7 million (31 December 2016 est.) |
| Stock of domestic credit: | $475.2 million (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-86 million (2016 est.) |
| Current account balance: | $-131.7 million (2015 est.) |
| Exports: | $106.6 million (2016 est.) |
| Exports: | $108.3 million (2015 est.) |
| Exports - commodities: | peanut products, fish, cotton lint, palm kernels |
| Exports - partners: | Mali 36.3%, Guinea 24.5%, Senegal 12.3%, China 11.7%, Guinea-Bissau 5.8% (2016) |
| Imports: | $326.7 million (2016 est.) |
| Imports: | $370.2 million (2015 est.) |
| Imports - commodities: | foodstuffs, manufactures, fuel, machinery and transport equipment |
| Imports - partners: | Cote dIvoire 13%, Brazil 12.3%, China 11%, Belgium 8.6%, India 5.7%, Spain 4.7%, Senegal 4.6% (2016) |
| Reserves of foreign exchange and gold: | $87.64 million (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $111 million (31 December 2015 est.) |
| Debt - external: | g: $571.2 million (31 December 2016 est.) |
| Debt - external: | $526.7 million (31 December 2015 est.) |
| Exchange rates: | dalasis (GMD) per US dollar - |
| Exchange rates: | 43.8846 (2016 est.) |
| Exchange rates: | 43.8846 (2015 est.) |
| Exchange rates: | 41.89 (2014 est.) |
| Exchange rates: | 41.733 (2013 est.) |
| Exchange rates: | 32.08 (2012 est.) |
