| Economy | Gambia, The |
| GDP - per capita (PPP): | $2,600 (2016 est.) |
| GDP - per capita (PPP): | $2,700 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 6.8% of GDP (2017 est.) |
| Gross national saving: | 7.1% of GDP (2016 est.) |
| Gross national saving: | 3.7% of GDP (2015 est.) |
| GDP - composition, by end use: | household consumption: 90.7% (2017 est.) |
| GDP - composition, by end use: | government consumption: 12% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 19.2% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: -2.7% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 20.8% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -40% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 20.4% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 14.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 65.4% (2017 est.) |
| Agriculture - products: | rice, millet, sorghum, peanuts, corn, sesame, cassava (manioc, tapioca), palm kernels; cattle, sheep, goats |
| Industries: | peanuts, fish, hides, tourism, beverages, agricultural machinery assembly, woodworking, metalworking, clothing |
| Industrial production growth rate: | -0.8% (2017 est.) |
| Labor force: | 777,100 (2007 est.) |
| Labor force - by occupation: | agriculture: 75% |
| Labor force - by occupation: | industry: 19% |
| Labor force - by occupation: | services: 6% (1996 est.) |
| Unemployment rate: | NA |
| Population below poverty line: | 48.4% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 36.9% (2003) |
| Household income or consumption by percentage share: | highest 10%: 36.9% (2003) |
| Distribution of family income - Gini index: | 50.2 (1998) |
| Budget: | revenues: 300.4 million (2017 est.) |
| Budget: | expenditures: 339 million (2017 est.) |
| Taxes and other revenues: | 20.3% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -2.6% (of GDP) (2017 est.) |
| Public debt: | 88% of GDP (2017 est.) |
| Public debt: | 82.3% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 8% (2017 est.) |
| Inflation rate (consumer prices): | 7.2% (2016 est.) |
| Central bank discount rate: | 9% (31 December 2009) |
| Central bank discount rate: | 11% (31 December 2008) |
| Commercial bank prime lending rate: | 29% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 30.4% (31 December 2016 est.) |
| Stock of narrow money: | $297.2 million (31 December 2017 est.) |
| Stock of narrow money: | $279.5 million (31 December 2016 est.) |
| Stock of broad money: | $297.2 million (31 December 2017 est.) |
| Stock of broad money: | $279.5 million (31 December 2016 est.) |
| Stock of domestic credit: | $552.5 million (31 December 2017 est.) |
| Stock of domestic credit: | $499 million (31 December 2016 est.) |
| Market value of publicly traded shares: | NA |
| Current account balance: | -$194 million (2017 est.) |
| Current account balance: | -$85 million (2016 est.) |
| Exports: | $72.9 million (2017 est.) |
| Exports: | $106.6 million (2016 est.) |
| Exports - partners: | Guinea-Bissau 51.9%, Vietnam 14.6%, Senegal 8.8%, Mali 7.2% (2017) |
| Exports - commodities: | peanut products, fish, cotton lint, palm kernels |
| Imports: | $376.9 million (2017 est.) |
| Imports: | $310.5 million (2016 est.) |
| Imports - commodities: | foodstuffs, manufactures, fuel, machinery and transport equipment |
| Imports - partners: | Cote dIvoire 11.5%, Brazil 10.6%, Spain 10.2%, China 7.8%, Russia 6.4%, Netherlands 5.3%, India 5% (2017) |
| Reserves of foreign exchange and gold: | $170 million (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $87.64 million (31 December 2016 est.) |
| Debt - external: | $586.8 million (31 December 2017 est.) |
| Debt - external: | $571.2 million (31 December 2016 est.) |
| Exchange rates: | dalasis (GMD) per US dollar - |
| Exchange rates: | 49.74 (2017 est.) |
| Exchange rates: | 43.8846 (2016 est.) |
| Exchange rates: | 43.8846 (2015 est.) |
| Exchange rates: | 41.89 (2014 est.) |
| Exchange rates: | 41.733 (2013 est.) |
