| Economy | Romania |
| Stock of direct foreign investment - at home: | $75.46 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $73.97 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $2.727 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $2.61 billion (31 December 2011 est.) |
| Exchange rates: | lei (RON) per US dollar - |
| Exchange rates: | 3.47 (2012 est.) |
| Exchange rates: | 3.05 (2011 est.) |
| Exchange rates: | 3.18 (2010 est.) |
| Exchange rates: | 3.05 (2009) |
| Exchange rates: | 2.5 (2008) |
