| Economy | ROMANIA |
| Industries: | electric machinery and equipment, auto assembly, textiles and footwear, light machinery, metallurgy, chemicals, food processing, petroleum refining, mining, timber, construction materials |
| Industrial production growth rate: | 1.5% (2016 est.) |
| Labor force: | 8.979 million (2016 est.) |
| Labor force - by occupation: | agriculture: 28.3% |
| Labor force - by occupation: | industry: 28.9% |
| Labor force - by occupation: | services: 42.8% (2014) |
| Unemployment rate: | 5.9% (2016 est.) |
| Unemployment rate: | 6.8% (2015 est.) |
| Population below poverty line: | 22.4% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 15.3% |
| Household income or consumption by percentage share: | highest 10%: 7.6% (2014 est.) |
| Distribution of family income - Gini index: | 27.3 (2012) |
| Distribution of family income - Gini index: | 28.2 (2010) |
| Budget: | revenues: $55.12 billion |
| Budget: | expenditures: $59.62 billion (2016 est.) |
| Taxes and other revenues: | 29.5% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -2.4% of GDP (2016 est.) |
| Public debt: | 37.6% of GDP (2016 est.) |
| Public debt: | 38% of GDP (2015 est.) |
| Public debt: | note: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -1.6% (2016 est.) |
| Inflation rate (consumer prices): | -0.6% (2015 est.) |
| Central bank discount rate: | 1.75% (31 December 2015) |
| Central bank discount rate: | 2.75% (31 December 2014) |
| Commercial bank prime lending rate: | 5.71% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 6.77% (31 December 2015 est.) |
| Stock of narrow money: | $41.82 billion (31 December 2016 est.) |
| Stock of narrow money: | $36.06 billion (31 December 2015 est.) |
| Stock of broad money: | $72.97 billion (31 December 2016 est.) |
| Stock of broad money: | $68.99 billion (31 December 2015 est.) |
| Stock of domestic credit: | $60.3 billion (31 December 2016 est.) |
| Stock of domestic credit: | $64.47 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $36.5 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $41.04 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $42.59 billion (31 December 2013 est.) |
| Current account balance: | $-4.389 billion (2016 est.) |
| Current account balance: | $-2.171 billion (2015 est.) |
| Exports: | $57.72 billion (2016 est.) |
| Exports: | $54.49 billion (2015 est.) |
| Exports - commodities: | machinery and equipment, other manufactured goods, agricultural products and foodstuffs, metals and metal products, chemicals, minerals and fuels, raw materials |
| Exports - partners: | Germany 21.5%, Italy 11.6%, France 7.2%, Hungary 5.2%, UK 4.3% (2016) |
| Imports: | $67.94 billion (2016 est.) |
| Imports: | $63.12 billion (2015 est.) |
| Imports - commodities: | machinery and equipment, other manufactured goods, chemicals, agricultural products and foodstuffs, fuels and minerals, metals and metal products, raw materials |
| Imports - partners: | Germany 20.5%, Italy 10.3%, Hungary 7.5%, France 5.6%, Poland 5.1%, China 5.1%, Netherlands 4.1% (2016) |
| Reserves of foreign exchange and gold: | $40 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $38.71 billion (31 December 2015 est.) |
| Debt - external: | $93.71 billion (31 December 2016 est.) |
| Debt - external: | $95.96 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $76.93 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $73.27 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $5.963 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $3.794 billion (31 December 2015 est.) |
| Exchange rates: | lei (RON) per US dollar - |
| Exchange rates: | 4.0592 (2016 est.) |
| Exchange rates: | 4.0592 (2015 est.) |
| Exchange rates: | 4.0057 (2014 est.) |
| Exchange rates: | 3.3492 (2013 est.) |
| Exchange rates: | 3.47 (2012 est.) |
