| Economy | Romania |
| GDP (official exchange rate): | $249.543 billion (2019 est.) |
| GDP - per capita (PPP): | $12,011 (2019 est.) |
| GDP - per capita (PPP): | $11,444 (2018 est.) |
| GDP - per capita (PPP): | $10,865 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 21.1% of GDP (2017 est.) |
| Gross national saving: | 21.7% of GDP (2016 est.) |
| Gross national saving: | 23.9% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 4.2% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 33.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 62.6% (2017 est.) |
| GDP - composition, by end use: | household consumption: 70% (2017 est.) |
| GDP - composition, by end use: | government consumption: 7.7% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 22.6% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 1.9% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 41.4% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -43.6% (2017 est.) |
| Ease of Doing Business Index scores: | 87.7 (2020) |
| Agriculture - products: | wheat, corn, barley, sugar beets, sunflower seed, potatoes, grapes; eggs, sheep |
| Industries: | electric machinery and equipment, auto assembly, textiles and footwear, light machinery, metallurgy, chemicals, food processing, petroleum refining, mining, timber, construction materials |
| Industrial production growth rate: | 5.5% (2017 est.) |
| Labor force: | 4.889 million (2020 est.) |
| Labor force - by occupation: | agriculture: 28.3% |
| Labor force - by occupation: | industry: 28.9% |
| Labor force - by occupation: | services: 42.8% (2014) |
| Unemployment rate: | 3.06% (2019 est.) |
| Unemployment rate: | 3.56% (2018 est.) |
| Population below poverty line: | 22.4% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 15.3% |
| Household income or consumption by percentage share: | highest 10%: 7.6% (2014 est.) |
| Budget: | revenues: 62.14 billion (2017 est.) |
| Budget: | expenditures: 68.13 billion (2017 est.) |
| Taxes and other revenues: | 29.3% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -2.8% (of GDP) (2017 est.) |
| Public debt: | 36.8% of GDP (2017 est.) |
| Public debt: | 38.8% of GDP (2016 est.) |
| Public debt: | note: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Current account balance: | -$11.389 billion (2019 est.) |
| Current account balance: | -$10.78 billion (2018 est.) |
| Exports: | $114.311 billion (2019 est.) |
| Exports: | $110.685 billion (2018 est.) |
| Exports: | $105.188 billion (2017 est.) |
| Exports - partners: | Germany 23%, Italy 11.2%, France 6.8%, Hungary 4.7%, UK 4.1% (2017) |
| Exports - commodities: | machinery and equipment, other manufactured goods, agricultural products and foodstuffs, metals and metal products, chemicals, minerals and fuels, raw materials |
| Imports: | $136.091 billion (2019 est.) |
| Imports: | $127.553 billion (2018 est.) |
| Imports: | $117.292 billion (2017 est.) |
| Imports - commodities: | machinery and equipment, other manufactured goods, chemicals, agricultural products and foodstuffs, fuels and minerals, metals and metal products, raw materials |
| Imports - partners: | Germany 20%, Italy 10%, Hungary 7.5%, Poland 5.5%, France 5.3%, China 5%, Netherlands 4% (2017) |
| Reserves of foreign exchange and gold: | $44.43 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $40 billion (31 December 2016 est.) |
| Debt - external: | $95.97 billion (31 December 2017 est.) |
| Debt - external: | $93.71 billion (31 December 2016 est.) |
| Exchange rates: | lei (RON) per US dollar - |
| Exchange rates: | 4.02835 (2020 est.) |
| Exchange rates: | 4.31655 (2019 est.) |
| Exchange rates: | 4.0782 (2018 est.) |
| Exchange rates: | 4.0057 (2014 est.) |
| Exchange rates: | 3.3492 (2013 est.) |
