| Economy | Romania |
| Imports - partners: | Germany 17.5%, Italy 11%, Hungary 9.1%, France 5.7%, Russia 4.4%, Poland 4.3%, Austria 4.2%, Kazakhstan 4.1% (2012) |
| Reserves of foreign exchange and gold: | $48.78 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $46.8 billion (31 December 2012 est.) |
| Debt - external: | $131.6 billion (31 December 2013 est.) |
| Debt - external: | $131.6 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $84.04 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $78.05 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.455 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $1.298 billion (31 December 2012 est.) |
| Exchange rates: | lei (RON) per US dollar - |
| Exchange rates: | 3.41 (2013 est.) |
| Exchange rates: | 3.4682 (2012 est.) |
| Exchange rates: | 3.1779 (2010 est.) |
| Exchange rates: | 3.0493 (2009) |
| Exchange rates: | 2.5 (2008) |
