| Economy | Luxembourg |
| Labor force - by occupation: | services: 80.6% (2007 est.) |
| Unemployment rate: | 4.8% (2012 est.) |
| Unemployment rate: | 5.7% (2011 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 3.5% |
| Household income or consumption by percentage share: | highest 10%: 23.8% (2000) |
| Distribution of family income - Gini index: | 26 (2005) |
| Investment (gross fixed): | 21.3% of GDP (2012 est.) |
| Budget: | revenues: $23.05 billion |
| Budget: | expenditures: $23.56 billion (2012 est.) |
| Taxes and other revenues: | 41.7% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | -0.9% of GDP (2012 est.) |
| Public debt: | 18.4% of GDP (2012 est.) |
| Public debt: | 17.4% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Inflation rate (consumer prices): | 2.6% (2012 est.) |
| Inflation rate (consumer prices): | 3.4% (2011 est.) |
| Central bank discount rate: | 1.5% (31 December 2012) |
| Central bank discount rate: | 1.75% (31 December 2010) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Stock of narrow money: | $81.55 billion (31 December 2012 est.) |
| Stock of narrow money: | $87.14 billion (31 December 2011 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply in the euro area; the European Central Bank (ECB) controls monetary policy for the 17 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
| Stock of broad money: | $229.9 billion (31 December 2012 est.) |
| Stock of broad money: | $229.9 billion (31 December 2011 est.) |
| Stock of domestic credit: | $395.1 billion (31 December 2009 est.) |
| Stock of domestic credit: | $369.6 billion (31 December 2008 est.) |
| Market value of publicly traded shares: | $67.63 billion (31 December 2011) |
| Market value of publicly traded shares: | $101.1 billion (31 December 2010) |
| Market value of publicly traded shares: | $105.6 billion (31 December 2009) |
| Agriculture - products: | grapes, barley, oats, potatoes, wheat, fruits; dairy and livestock products |
| Industrial production growth rate: | 6.2% (2011 est.) |
| Current account balance: | $500 million (2012 est.) |
| Current account balance: | $4.185 billion (2011 est.) |
| Exports: | $15.5 billion (2012 est.) |
| Exports: | $19.22 billion (2011 est.) |
| Exports - commodities: | machinery and equipment, steel products, chemicals, rubber products, glass |
| Exports - partners: | Germany 22.2%, France 15.6%, Belgium 13.2%, UK 7.3%, Italy 5.4%, Switzerland 4.3%, Netherlands 4.1% (2011) |
| Imports: | $25.08 billion (2012 est.) |
| Imports: | $26.54 billion (2011 est.) |
| Imports - commodities: | minerals, metals, foodstuffs, quality consumer goods |
| Imports - partners: | Belgium 30.3%, Germany 26%, France 10.8%, China 6.9%, Netherlands 5.8%, US 5.2% (2011) |
| Reserves of foreign exchange and gold: | $1.014 billion (31 December 2011 est.) |
| Reserves of foreign exchange and gold: | $849 million (2010 est.) |
| Debt - external: | $2.146 trillion (30 June 2011) |
| Debt - external: | $1.892 trillion (30 June 2010) |
| Stock of direct foreign investment - at home: | $NA (31 December 2009 est.) |
| Stock of direct foreign investment - at home: | $11.21 billion (31 December 2008 est.) |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | euros (EUR) per US dollar - |
| Exchange rates: | 0.7838 (2012 est.) |
| Exchange rates: | 0.7185 (2011 est.) |
| Exchange rates: | 755 (2010 est.) |
| Exchange rates: | 0.7198 (2009 est.) |
| Exchange rates: | 0.6827 (2008 est.) |
| Fiscal year: | calendar year |
