| Economy | Mexico |
| Unemployment rate: | 3.4% (2017 est.) |
| Unemployment rate: | 3.9% (2016 est.) |
| Unemployment rate: | note: underemployment may be as high as 25% |
| Population below poverty line: | 46.2% (2014 est.) |
| Population below poverty line: | note: from a food-based definition of poverty; asset-based poverty amounted to more than 47% |
| Household income or consumption by percentage share: | lowest 10%: 40% (2014) |
| Household income or consumption by percentage share: | highest 10%: 40% (2014) |
| Distribution of family income - Gini index: | 48.2 (2014) |
| Distribution of family income - Gini index: | 48.3 (2008) |
| Budget: | revenues: 261.4 billion (2017 est.) |
| Budget: | expenditures: 273.8 billion (2017 est.) |
| Taxes and other revenues: | 22.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -1.1% (of GDP) (2017 est.) |
| Public debt: | 54.3% of GDP (2017 est.) |
| Public debt: | 56.8% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6% (2017 est.) |
| Inflation rate (consumer prices): | 2.8% (2016 est.) |
| Central bank discount rate: | 7.25% (31 December 2017) |
| Central bank discount rate: | 5.75% (31 December 2016) |
| Commercial bank prime lending rate: | 7.34% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 4.72% (31 December 2016 est.) |
| Stock of narrow money: | $215.5 billion (31 December 2017 est.) |
| Stock of narrow money: | $186.6 billion (31 December 2016 est.) |
| Stock of broad money: | $215.5 billion (31 December 2017 est.) |
| Stock of broad money: | $186.6 billion (31 December 2016 est.) |
| Stock of domestic credit: | $431.6 billion (31 December 2017 est.) |
| Stock of domestic credit: | $393.8 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $402.3 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $480.2 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $526 billion (31 December 2013 est.) |
| Current account balance: | -$19.35 billion (2017 est.) |
| Current account balance: | -$23.32 billion (2016 est.) |
| Exports: | $409.8 billion (2017 est.) |
| Exports: | $374.3 billion (2016 est.) |
| Exports - partners: | US 79.9% (2017) |
| Exports - commodities: | manufactured goods, electronics, vehicles and auto parts, oil and oil products, silver, plastics, fruits, vegetables, coffee, cotton; Mexico is the world's leading producer of silver |
| Imports: | $420.8 billion (2017 est.) |
| Imports: | $387.4 billion (2016 est.) |
| Imports - commodities: | metalworking machines, steel mill products, agricultural machinery, electrical equipment, automobile parts for assembly and repair, aircraft, aircraft parts, plastics, natural gas and oil products |
| Imports - partners: | US 46.4%, China 17.7%, Japan 4.3% (2017) |
| Reserves of foreign exchange and gold: | $175.3 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $178.4 billion (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | note: Mexico also maintains access to an $88 million Flexible Credit Line with the IMF |
| Debt - external: | $445.8 billion (31 December 2017 est.) |
| Debt - external: | $450.2 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $554.3 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $473.5 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $243.8 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $148.6 billion (31 December 2016 est.) |
| Exchange rates: | Mexican pesos (MXN) per US dollar - |
| Exchange rates: | 18.26 (2017 est.) |
| Exchange rates: | 18.664 (2016 est.) |
| Exchange rates: | 18.664 (2015 est.) |
| Exchange rates: | 15.848 (2014 est.) |
| Exchange rates: | 13.292 (2013 est.) |
