| Economy | CONGO, DEMOCRATIC REPUBLIC OF THE |
| GDP - composition, by end use: | investment in inventories: 0.1% |
| GDP - composition, by end use: | exports of goods and services: 25.3% |
| GDP - composition, by end use: | imports of goods and services: -33.9% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 20.4% |
| GDP - composition, by sector of origin: | industry: 32.9% |
| GDP - composition, by sector of origin: | services: 46.6% (2015 est.) |
| Agriculture - products: | coffee, sugar, palm oil, rubber, tea, cotton, cocoa, quinine, cassava (manioc, tapioca), bananas, plantains, peanuts, root crops, corn, fruits; wood products |
| Industries: | mining (copper, cobalt, gold, diamonds, coltan, zinc, tin, tungsten), mineral processing, consumer products (textiles, plastics, footwear, cigarettes), metal products, processed foods and beverages, timber, cement, commercial ship repair |
| Industrial production growth rate: | 6.1% (2015 est.) |
| Labor force: | 30.05 million (2015 est.) |
| Labor force - by occupation: | agriculture: NA% |
| Labor force - by occupation: | industry: NA% |
| Labor force - by occupation: | services: NA% |
| Unemployment rate: | NA% |
| Population below poverty line: | 63% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 34.7% (2006) |
| Budget: | revenues: $5.444 billion |
| Budget: | expenditures: $5.644 billion (2015 est.) |
| Taxes and other revenues: | 14% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -0.5% of GDP (2015 est.) |
| Public debt: | 17.6% of GDP (2015 est.) |
| Public debt: | 16.9% of GDP (2014 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.2% (2015 est.) |
| Inflation rate (consumer prices): | 1.2% (2014 est.) |
| Central bank discount rate: | 4% (31 December 2012) |
| Central bank discount rate: | 20% (31 December 2011) |
| Commercial bank prime lending rate: | 19.37% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 18.69% (31 December 2014 est.) |
| Stock of narrow money: | $1.213 billion (31 December 2015 est.) |
| Stock of narrow money: | $1.123 billion (31 December 2014 est.) |
| Stock of broad money: | $5.018 billion (31 December 2015 est.) |
| Stock of broad money: | $4.402 billion (31 December 2014 est.) |
| Stock of domestic credit: | $3.381 billion (31 December 2015 est.) |
| Stock of domestic credit: | $2.844 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$4.726 billion (2015 est.) |
| Current account balance: | -$3.449 billion (2014 est.) |
| Exports: | $10.35 billion (2015 est.) |
| Exports: | $12.32 billion (2014 est.) |
| Exports - commodities: | diamonds, copper, gold, cobalt, wood products, crude oil, coffee |
| Exports - partners: | China 43.5%, Zambia 25%, South Korea 4.9%, Belgium 4.8% (2015) |
| Imports: | $10.46 billion (2015 est.) |
| Imports: | $11.96 billion (2014 est.) |
| Imports - commodities: | foodstuffs, mining and other machinery, transport equipment, fuels |
| Imports - partners: | China 20.6%, South Africa 17.7%, Zambia 12.3%, Belgium 6.9%, Zimbabwe 5.1%, India 4.7% (2015) |
| Reserves of foreign exchange and gold: | $1.216 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $1.557 billion (31 December 2014 est.) |
| Debt - external: | $5.106 billion (31 December 2015 est.) |
| Debt - external: | $5.508 billion (31 December 2014 est.) |
| Exchange rates: | Congolese francs (CDF) per US dollar - |
| Exchange rates: | 925.99 (2015 est.) |
| Exchange rates: | 925.23 (2014 est.) |
| Exchange rates: | 925.23 (2013 est.) |
| Exchange rates: | 920.25 (2012 est.) |
| Exchange rates: | 899 (2011 est.) |
