| Economy | Namibia |
| Industrial production growth rate: | 5.6% (2013 est.) |
| Labor force: | 880,400 (2013 est.) |
| Labor force - by occupation: | agriculture: 16.3% |
| Labor force - by occupation: | industry: 22.4% |
| Labor force - by occupation: | services: 61.3% |
| Labor force - by occupation: | note: about half of Namibia's people are unemployed while about two-thirds live in rural areas; roughly two-thirds of rural dwellers rely on subsistence agriculture (2008 est.) |
| Unemployment rate: | 27.4% (2012 est.) |
| Unemployment rate: | 51.2% (2008 est.) |
| Population below poverty line: | 28.7% |
| Population below poverty line: | note: the UNDP's 2005 Human Development Report indicated that 34.9% of the population live on $1 per day and 55.8% live on $2 per day (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.4% |
| Household income or consumption by percentage share: | highest 10%: 42% (2010) |
| Distribution of family income - Gini index: | 59.7 (2010) |
| Distribution of family income - Gini index: | 70.7 (2003) |
| Budget: | revenues: $4.325 billion |
| Budget: | expenditures: $5.126 billion (2013 est.) |
| Taxes and other revenues: | 35.2% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -6.5% of GDP (2013 est.) |
| Public debt: | 27.2% of GDP (2013 est.) |
| Public debt: | 25.8% of GDP (2012 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 5.5% (2013 est.) |
| Inflation rate (consumer prices): | 6.5% (2012 est.) |
| Central bank discount rate: | 5.5% (31 December 2013 est.) |
| Central bank discount rate: | 12% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 9.25% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 8.7% (31 December 2012 est.) |
| Stock of narrow money: | $2.723 billion (31 December 2013 est.) |
| Stock of narrow money: | $2.941 billion (31 December 2012 est.) |
| Stock of broad money: | $7.22 billion (31 December 2013 est.) |
| Stock of broad money: | $7.228 billion (31 December 2012 est.) |
| Stock of domestic credit: | $5.942 billion (31 December 2013 est.) |
| Stock of domestic credit: | $6.266 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.305 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.152 billion (31 December 2011) |
| Market value of publicly traded shares: | $1.176 billion (31 December 2010 est.) |
| Current account balance: | -$658.4 million (2013 est.) |
| Current account balance: | -$414 million (2012 est.) |
| Exports: | $5.124 billion (2013 est.) |
| Exports: | $4.883 billion (2012 est.) |
| Exports - commodities: | diamonds, copper, gold, zinc, lead, uranium; cattle, white fish and mollusks |
| Imports: | $7.084 billion (2013 est.) |
| Imports: | $6.44 billion (2012 est.) |
| Imports - commodities: | foodstuffs; petroleum products and fuel, machinery and equipment, chemicals |
| Reserves of foreign exchange and gold: | $2.267 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $1.738 billion (31 December 2012 est.) |
| Debt - external: | $4.312 billion (31 December 2013 est.) |
| Debt - external: | $4.292 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $NA |
| Stock of direct foreign investment - abroad: | $NA |
| Exchange rates: | Namibian dollars (NAD) per US dollar - |
| Exchange rates: | 9.282 (2013 est.) |
| Exchange rates: | 8.2031 (2012 est.) |
| Exchange rates: | 7.3212 (2010 est.) |
| Exchange rates: | 8.42 (2009) |
| Exchange rates: | 7.75 (2008) |
