| Economy | GUINEA |
| GDP - real growth rate: | 0.1% (2015 est.) |
| GDP - real growth rate: | 1.1% (2014 est.) |
| GDP - real growth rate: | 2.3% (2013 est.) |
| GDP - per capita (PPP): | $1,200 (2015 est.) |
| GDP - per capita (PPP): | $1,200 (2014 est.) |
| GDP - per capita (PPP): | $1,300 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | -5.6% of GDP (2015 est.) |
| Gross national saving: | -5.9% of GDP (2014 est.) |
| Gross national saving: | -4.4% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 96.1% |
| GDP - composition, by end use: | government consumption: 9.1% |
| GDP - composition, by end use: | investment in fixed capital: 13.2% |
| GDP - composition, by end use: | investment in inventories: -0.1% |
| GDP - composition, by end use: | exports of goods and services: 23.8% |
| GDP - composition, by end use: | imports of goods and services: -42.1% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 19.5% |
| GDP - composition, by sector of origin: | industry: 36.8% |
| GDP - composition, by sector of origin: | services: 43.8% (2015 est.) |
| Agriculture - products: | rice, coffee, pineapples, mangoes, palm kernels, cocoa, cassava (manioc, tapioca), bananas, potatoes, sweet potatoes; cattle, sheep, goats; timber |
| Industries: | bauxite, gold, diamonds, iron ore; light manufacturing, agricultural processing |
| Industrial production growth rate: | -2% (2015 est.) |
| Labor force: | 5.199 million (2015 est.) |
| Labor force - by occupation: | agriculture: 76% |
| Labor force - by occupation: | industry and services: 24% (2006 est.) |
| Unemployment rate: | NA% |
| Population below poverty line: | 47% (2006 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.7% |
| Household income or consumption by percentage share: | highest 10%: 30.3% (2007) |
| Distribution of family income - Gini index: | 39.4 (2007) |
| Distribution of family income - Gini index: | 40.3 (1994) |
| Budget: | revenues: $1.302 billion |
| Budget: | expenditures: $1.908 billion (2015 est.) |
| Taxes and other revenues: | 19.5% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -9.1% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 8.1% (2015 est.) |
| Inflation rate (consumer prices): | 9.7% (2014 est.) |
| Central bank discount rate: | NA% (31 December 2010) |
| Central bank discount rate: | 22.25% (31 December 2005) |
| Commercial bank prime lending rate: | 23% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 23% (31 December 2014 est.) |
| Stock of narrow money: | $1.658 billion (31 December 2015 est.) |
| Stock of narrow money: | $1.84 billion (31 December 2014 est.) |
| Stock of broad money: | $2.093 billion (31 December 2015 est.) |
| Stock of broad money: | $2.175 billion (31 December 2014 est.) |
| Stock of domestic credit: | $1.863 billion (31 December 2015 est.) |
| Stock of domestic credit: | $2.226 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | -$1.503 billion (2015 est.) |
| Current account balance: | -$1.718 billion (2014 est.) |
| Exports: | $1.611 billion (2015 est.) |
| Exports: | $1.643 billion (2014 est.) |
| Exports - commodities: | bauxite, gold, diamonds, coffee, fish, agricultural products |
| Exports - partners: | India 22.5%, Spain 8.2%, Ireland 7.3%, Germany 6.2%, Belgium 5.5%, Ukraine 5.3%, France 4.1% (2015) |
| Imports: | $2.173 billion (2015 est.) |
| Imports: | $2.225 billion (2014 est.) |
| Imports - commodities: | petroleum products, metals, machinery, transport equipment, textiles, grain and other foodstuffs |
| Imports - partners: | China 20.4%, Netherlands 5.4%, India 4.4% (2015) |
| Reserves of foreign exchange and gold: | $233.5 million (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $302.4 million (31 December 2014 est.) |
| Debt - external: | $1.329 billion (31 December 2015 est.) |
| Debt - external: | $1.407 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $67.3 million (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $67.3 million (31 December 2014 est.) |
| Exchange rates: | Guinean francs (GNF) per US dollar - |
| Exchange rates: | 7,485.5 (2015 est.) |
| Exchange rates: | 7,014.1 (2014 est.) |
| Exchange rates: | 7,014.1 (2013 est.) |
| Exchange rates: | 6,986 (2012 est.) |
| Exchange rates: | 6,658 (2011 est.) |
