| Economy | Latvia |
| GDP - composition, by sector of origin: | services: 69.3% (2012 est.) |
| Agriculture - products: | grain, rapeseed, potatoes, vegetables; pork, poultry, milk, eggs; fish |
| Industries: | processed foods, processed wood products, textiles, processed metals, pharmaceuticals, railroad cars, synthetic fibers, electronics |
| Industrial production growth rate: | 8.8% (2012 est.) |
| Labor force: | 1.031 million (2012 est.) |
| Labor force - by occupation: | agriculture: 8.8% |
| Labor force - by occupation: | industry: 24% |
| Labor force - by occupation: | services: 67.2% (2010 est.) |
| Unemployment rate: | 11.4% (2012 est.) |
| Unemployment rate: | 12.8% (2011 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: 2.7% |
| Household income or consumption by percentage share: | highest 10%: 27.6% (2008) |
| Distribution of family income - Gini index: | 35.2 (2010) |
| Distribution of family income - Gini index: | 32 (1999) |
| Budget: | revenues: $9.999 billion |
| Budget: | expenditures: $9.981 billion (2012 est.) |
| Taxes and other revenues: | 35.7% of GDP (2012 est.) |
| Budget surplus (+) or deficit (-): | 0.1% of GDP (2012 est.) |
| Public debt: | 40.7% of GDP (2012 est.) |
| Public debt: | 41.9% of GDP (2011 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities, including sub-sectors of central government, state government, local government, and social security funds |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.3% (2012 est.) |
| Inflation rate (consumer prices): | 4.4% (2011 est.) |
| Central bank discount rate: | 3.5% (31 December 2011 est.) |
| Central bank discount rate: | 3.5% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 5.52% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 6.39% (31 December 2011 est.) |
| Stock of narrow money: | $9.099 billion (31 December 2012 est.) |
| Stock of narrow money: | $8.01 billion (31 December 2011 est.) |
| Stock of broad money: | $12.09 billion (31 December 2012 est.) |
| Stock of broad money: | $12.12 billion (31 December 2011 est.) |
| Stock of domestic credit: | $18.39 billion (31 December 2012 est.) |
| Stock of domestic credit: | $20.65 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $1.076 billion (31 December 2011) |
| Market value of publicly traded shares: | $1.252 billion (31 December 2010) |
| Market value of publicly traded shares: | $1.824 billion (31 December 2009) |
| Current account balance: | $-473.4 million (2012 est.) |
| Current account balance: | $-628.2 million (2011 est.) |
| Exports: | $12.23 billion (2012 est.) |
| Exports: | $11.5 billion (2011 est.) |
| Exports - commodities: | food products, wood and wood products, metals, machinery and equipment, textiles |
| Exports - partners: | Russia 18.2%, Lithuania 14.9%, Estonia 12.1%, Germany 7.5%, Poland 5.6%, Sweden 4.8% (2012) |
| Imports: | $15.15 billion (2012 est.) |
| Imports: | $14.74 billion (2011 est.) |
| Imports - commodities: | machinery and equipment, consumer goods, chemicals, fuels, vehicles |
| Imports - partners: | Lithuania 19.1%, Germany 11.6%, Russia 9.2%, Poland 8.2%, Estonia 7.6%, Italy 4.6%, Finland 4.4% (2012) |
| Reserves of foreign exchange and gold: | $7.523 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $6.383 billion (31 December 2011 est.) |
| Debt - external: | $39.43 billion (31 December 2012 est.) |
| Debt - external: | $38.07 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $14.14 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $13.07 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $1.992 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $1.844 billion (31 December 2011 est.) |
| Exchange rates: | lati (LVL) per US dollar - |
| Exchange rates: | 0.55 (2012 est.) |
| Exchange rates: | 0.5 (2011 est.) |
| Exchange rates: | 0.53 (2010 est.) |
| Exchange rates: | 0.51 (2009) |
| Exchange rates: | 0.47 (2008) |
