| Economy | LATVIA |
| Stock of broad money: | $13.41 billion (31 December 2013 est.) |
| Stock of domestic credit: | $15.98 billion (31 December 2014 est.) |
| Stock of domestic credit: | $18 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $1.115 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $1.076 billion (31 December 2011) |
| Market value of publicly traded shares: | $1.252 billion (31 December 2010 est.) |
| Current account balance: | -$996 million (2014 est.) |
| Current account balance: | -$249.6 million (2013 est.) |
| Exports: | $13.38 billion (2014 est.) |
| Exports: | $13.06 billion (2013 est.) |
| Exports - commodities: | foodstuffs, wood and wood products, metals, machinery and equipment, textiles |
| Exports - partners: | Lithuania 17.7%, Russia 14.7%, Estonia 11.2%, Germany 6.6%, Poland 6.2%, Sweden 5.1%, UK 4.7% (2014) |
| Imports: | $16.56 billion (2014 est.) |
| Imports: | $15.98 billion (2013 est.) |
| Imports - commodities: | machinery and equipment, consumer goods, chemicals, fuels, vehicles |
| Imports - partners: | Lithuania 17%, Germany 11.7%, Poland 10.9%, Russia 7.7%, Estonia 7.7%, Finland 5.8%, Italy 4.1% (2014) |
| Reserves of foreign exchange and gold: | $7.507 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $7.893 billion (31 December 2013 est.) |
| Debt - external: | $38.54 billion (31 December 2014 est.) |
| Debt - external: | $38.28 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $17.92 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $16.62 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $2.731 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $2.431 billion (31 December 2013 est.) |
| Exchange rates: | lati (LVL) per US dollar - |
| Exchange rates: | 0.7489 (2014 est.) |
| Exchange rates: | 0.7634 (2013 est.) |
| Exchange rates: | 0.55 (2012 est.) |
| Exchange rates: | 0.5012 (2011 est.) |
| Exchange rates: | 0.5305 (2010 est.) |
