| Economy | Zambia |
| Market value of publicly traded shares: | $2.817 billion (31 December 2010 est.) |
| Current account balance: | -$1.006 billion (2017 est.) |
| Current account balance: | -$934 million (2016 est.) |
| Exports: | $8.216 billion (2017 est.) |
| Exports: | $6.514 billion (2016 est.) |
| Exports - partners: | Switzerland 44.8%, China 16.1%, Democratic Republic of the Congo 6.2%, Singapore 6%, South Africa 5.9% (2017) |
| Exports - commodities: | copper/cobalt, cobalt, electricity; tobacco, flowers, cotton |
| Imports: | $7.852 billion (2017 est.) |
| Imports: | $6.539 billion (2016 est.) |
| Imports - commodities: | machinery, transportation equipment, petroleum products, electricity, fertilizer, foodstuffs, clothing |
| Imports - partners: | South Africa 28.2%, Democratic Republic of the Congo 20.8%, China 12.9%, Kuwait 5.4%, UAE 4.6% (2017) |
| Reserves of foreign exchange and gold: | $2.082 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $2.353 billion (31 December 2016 est.) |
| Debt - external: | $11.66 billion (31 December 2017 est.) |
| Debt - external: | $9.562 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | NA |
| Stock of direct foreign investment - abroad: | NA |
| Exchange rates: | Zambian kwacha (ZMK) per US dollar - |
| Exchange rates: | 9.2 (2017 est.) |
| Exchange rates: | 10.3 (2016 est.) |
| Exchange rates: | 10.3 (2015 est.) |
| Exchange rates: | 8.6 (2014 est.) |
| Exchange rates: | 6.2 (2013 est.) |
