| Economy | Jamaica |
| GDP - composition, by sector of origin: | services: 64.1% (2013 est.) |
| Agriculture - products: | sugarcane, bananas, coffee, citrus, yams, ackees, vegetables; poultry, goats, milk; shellfish |
| Industries: | tourism, bauxite/alumina, agricultural-processing, light manufactures, rum, cement, metal, paper, chemical products, telecommunications |
| Industrial production growth rate: | 1.5% (2013 est.) |
| Labor force: | 1.261 million (2013 est.) |
| Labor force - by occupation: | agriculture: 17% |
| Labor force - by occupation: | industry: 19% |
| Labor force - by occupation: | services: 64% (2006) |
| Unemployment rate: | 16.3% (2013 est.) |
| Unemployment rate: | 13.7% (2012 est.) |
| Population below poverty line: | 16.5% (2009 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.1% |
| Household income or consumption by percentage share: | highest 10%: 35.8% (2004) |
| Distribution of family income - Gini index: | 45.5 (2004) |
| Distribution of family income - Gini index: | 37.9 (2000) |
| Budget: | revenues: $3.826 billion |
| Budget: | expenditures: $4.088 billion (2013 est.) |
| Taxes and other revenues: | 26.6% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -1.8% of GDP (2013 est.) |
| Public debt: | 123.6% of GDP (2013 est.) |
| Public debt: | 132.9% of GDP (2012 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 9.4% (2013 est.) |
| Inflation rate (consumer prices): | 6.9% (2012 est.) |
| Central bank discount rate: | 2% (31 December 2010 est.) |
| Central bank discount rate: | NA% (31 December 2009 est.) |
| Commercial bank prime lending rate: | 17% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 17.63% (31 December 2012 est.) |
| Stock of narrow money: | $1.671 billion (31 December 2013 est.) |
| Stock of narrow money: | $1.723 billion (31 December 2012 est.) |
| Stock of broad money: | $5.928 billion (31 December 2013 est.) |
| Stock of broad money: | $6.239 billion (31 December 2012 est.) |
| Stock of domestic credit: | $7.197 billion (31 December 2013 est.) |
| Stock of domestic credit: | $7.351 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $6.39 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $7.223 billion (31 December 2011) |
| Market value of publicly traded shares: | $6.626 billion (31 December 2010 est.) |
| Current account balance: | -$1.583 billion (2013 est.) |
| Current account balance: | -$1.905 billion (2012 est.) |
| Exports: | $1.775 billion (2013 est.) |
| Exports: | $1.747 billion (2012 est.) |
| Exports - commodities: | alumina, bauxite, sugar, rum, coffee, yams, beverages, chemicals, wearing apparel, mineral fuels |
| Exports - partners: | US 48%, Canada 7.2%, Slovenia 4.2%, Netherlands 4.1%, UAE 4.1% (2012) |
| Imports: | $5.559 billion (2013 est.) |
| Imports: | $5.905 billion (2012 est.) |
| Imports - commodities: | food and other consumer goods, industrial supplies, fuel, parts and accessories of capital goods, machinery and transport equipment, construction materials |
| Imports - partners: | US 36.1%, Venezuela 15.6%, Trinidad and Tobago 10.8%, China 4.8%, Mexico 4% (2012) |
| Reserves of foreign exchange and gold: | $1.9 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $1.981 billion (31 December 2012 est.) |
| Debt - external: | $13.82 billion (31 December 2013 est.) |
| Debt - external: | $14.09 billion (31 December 2012 est.) |
| Exchange rates: | Jamaican dollars (JMD) per US dollar - |
| Exchange rates: | 99.83 (2013 est.) |
| Exchange rates: | 88.751 (2012 est.) |
| Exchange rates: | 87.196 (2010 est.) |
| Exchange rates: | 87.89 (2009) |
| Exchange rates: | 72.236 (2008) |
