| Economy | JAMAICA |
| Household income or consumption by percentage share: | highest 10%: 35.8% (2004) |
| Distribution of family income - Gini index: | 45.5 (2004) |
| Distribution of family income - Gini index: | 37.9 (2000) |
| Budget: | revenues: $3.899 billion |
| Budget: | expenditures: $3.941 billion (2015 est.) |
| Taxes and other revenues: | 28% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -0.3% of GDP (2015 est.) |
| Public debt: | 126.8% of GDP (2015 est.) |
| Public debt: | 129.9% of GDP (2014 est.) |
| Fiscal year: | 1 April - 31 March |
| Inflation rate (consumer prices): | 3.7% (2015 est.) |
| Inflation rate (consumer prices): | 8.3% (2014 est.) |
| Central bank discount rate: | 2% (31 December 2010) |
| Commercial bank prime lending rate: | 16.98% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 17.22% (31 December 2014 est.) |
| Stock of narrow money: | $3.542 billion (31 December 2015 est.) |
| Stock of narrow money: | $3.156 billion (31 December 2014 est.) |
| Stock of broad money: | $7.847 billion (31 December 2015 est.) |
| Stock of broad money: | $7.519 billion (31 December 2014 est.) |
| Stock of domestic credit: | $6.881 billion (31 December 2015 est.) |
| Stock of domestic credit: | $7.078 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $6.39 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $7.223 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $6.626 billion (31 December 2010 est.) |
| Current account balance: | -$598 million (2015 est.) |
| Current account balance: | -$980 million (2014 est.) |
| Exports: | $1.261 billion (2015 est.) |
| Exports: | $1.449 billion (2014 est.) |
| Exports - commodities: | alumina, bauxite, sugar, rum, coffee, yams, beverages, chemicals, apparel, mineral fuels |
| Exports - partners: | US 24.4%, Canada 16.5%, Russia 9.3%, Netherlands 8.9%, Iceland 7.2%, UK 6.5% (2015) |
| Imports: | $4.414 billion (2015 est.) |
| Imports: | $5.208 billion (2014 est.) |
| Imports - commodities: | food and other consumer goods, industrial supplies, fuel, parts and accessories of capital goods, machinery and transport equipment, construction materials |
| Imports - partners: | US 32.6%, Venezuela 12.4%, China 12%, Trinidad and Tobago 11.1% (2015) |
| Reserves of foreign exchange and gold: | $2.914 billion (31 December 2015 est.) |
| Reserves of foreign exchange and gold: | $2.473 billion (31 December 2014 est.) |
| Debt - external: | $16.49 billion (31 December 2015 est.) |
| Debt - external: | $17.25 billion (31 December 2014 est.) |
| Exchange rates: | Jamaican dollars (JMD) per US dollar - |
| Exchange rates: | 116.898 (2015 est.) |
| Exchange rates: | 110.935 (2014 est.) |
| Exchange rates: | 110.935 (2013 est.) |
| Exchange rates: | 88.75 (2012 est.) |
| Exchange rates: | 85.893 (2011 est.) |
