| Economy | TUNISIA |
| Stock of broad money: | $30.9 billion (31 December 2013 est.) |
| Stock of domestic credit: | $38 billion (31 December 2014 est.) |
| Stock of domestic credit: | $36.94 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $8.887 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $9.662 billion (31 December 2011) |
| Market value of publicly traded shares: | $10.68 billion (31 December 2010 est.) |
| Current account balance: | -$4.332 billion (2014 est.) |
| Current account balance: | -$3.861 billion (2013 est.) |
| Exports: | $16.61 billion (2014 est.) |
| Exports: | $17.03 billion (2013 est.) |
| Exports - commodities: | clothing, semi-finished goods and textiles, agricultural products, mechanical goods, phosphates and chemicals, hydrocarbons, electrical equipment |
| Exports - partners: | France 29.7%, Italy 17.1%, Germany 11.5%, Libya 5.4% (2014) |
| Imports: | $23.4 billion (2014 est.) |
| Imports: | $22.87 billion (2013 est.) |
| Imports - commodities: | textiles, machinery and equipment, hydrocarbons, chemicals, foodstuffs |
| Imports - partners: | France 19.9%, Italy 19.5%, Germany 7.6%, China 5.5%, Spain 5.4%, Turkey 4.1% (2014) |
| Reserves of foreign exchange and gold: | $7.198 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $7.447 billion (31 December 2013 est.) |
| Debt - external: | $29.56 billion (31 December 2014 est.) |
| Debt - external: | $26.8 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $35.47 billion (31 December 2014 est.) |
| Stock of direct foreign investment - at home: | $34.49 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $310 million (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $295 million (31 December 2013 est.) |
| Exchange rates: | Tunisian dinars (TND) per US dollar - |
| Exchange rates: | 1.704 (2014 est.) |
| Exchange rates: | 1.6247 (2013 est.) |
| Exchange rates: | 1.56 (2012 est.) |
| Exchange rates: | 1.4078 (2011 est.) |
| Exchange rates: | 1.4314 (2010 est.) |
