| Economy | Tunisia |
| GDP - composition, by end use: | investment in fixed capital: 19.4% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 0% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 43.2% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -55.2% (2017 est.) |
| GDP - composition, by sector of origin: | agriculture: 10.1% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 26.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 63.8% (2017 est.) |
| Agriculture - products: | olives, olive oil, grain, tomatoes, citrus fruit, sugar beets, dates, almonds; beef, dairy products |
| Industries: | petroleum, mining (particularly phosphate, iron ore), tourism, textiles, footwear, agribusiness, beverages |
| Industrial production growth rate: | 0.5% (2017 est.) |
| Labor force: | 4.054 million (2017 est.) |
| Labor force - by occupation: | agriculture: 14.8% |
| Labor force - by occupation: | industry: 33.2% |
| Labor force - by occupation: | services: 51.7% (2014 est.) |
| Unemployment rate: | 15.5% (2017 est.) |
| Unemployment rate: | 15.5% (2016 est.) |
| Population below poverty line: | 15.5% (2010 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.6% |
| Household income or consumption by percentage share: | highest 10%: 27% (2010 est.) |
| Distribution of family income - Gini index: | 40 (2005 est.) |
| Distribution of family income - Gini index: | 41.7 (1995 est.) |
| Budget: | revenues: 9.876 billion (2017 est.) |
| Budget: | expenditures: 12.21 billion (2017 est.) |
| Taxes and other revenues: | 24.7% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -5.8% (of GDP) (2017 est.) |
| Public debt: | 70.3% of GDP (2017 est.) |
| Public debt: | 62.3% of GDP (2016 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 5.3% (2017 est.) |
| Inflation rate (consumer prices): | 3.7% (2016 est.) |
| Central bank discount rate: | 5.75% (31 December 2010) |
| Commercial bank prime lending rate: | 7.31% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 6.76% (31 December 2013 est.) |
| Stock of narrow money: | $12.92 billion (31 December 2017 est.) |
| Stock of narrow money: | $11.83 billion (31 December 2016 est.) |
| Stock of broad money: | $12.92 billion (31 December 2017 est.) |
| Stock of broad money: | $11.83 billion (31 December 2016 est.) |
| Stock of domestic credit: | $36.19 billion (31 December 2017 est.) |
| Stock of domestic credit: | $34.18 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $8.887 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $9.662 billion (31 December 2011 est.) |
| Market value of publicly traded shares: | $10.68 billion (31 December 2010 est.) |
| Current account balance: | -$4.191 billion (2017 est.) |
| Current account balance: | -$3.694 billion (2016 est.) |
| Exports: | $13.82 billion (2017 est.) |
| Exports: | $13.57 billion (2016 est.) |
| Exports - partners: | France 32.1%, Italy 17.3%, Germany 12.4% (2017) |
| Exports - commodities: | clothing, semi-finished goods and textiles, agricultural products, mechanical goods, phosphates and chemicals, hydrocarbons, electrical equipment |
| Imports: | $19.09 billion (2017 est.) |
| Imports: | $18.37 billion (2016 est.) |
| Imports - commodities: | textiles, machinery and equipment, hydrocarbons, chemicals, foodstuffs |
| Imports - partners: | Italy 15.8%, France 15.1%, China 9.2%, Germany 8.1%, Turkey 4.8%, Algeria 4.7%, Spain 4.5% (2017) |
| Reserves of foreign exchange and gold: | $5.594 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $5.941 billion (31 December 2016 est.) |
| Debt - external: | $30.19 billion (31 December 2017 est.) |
| Debt - external: | $28.95 billion (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $37.95 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $37.15 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $285 million (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $285 million (31 December 2016 est.) |
| Exchange rates: | Tunisian dinars (TND) per US dollar - |
| Exchange rates: | 2.48 (2017 est.) |
| Exchange rates: | 2.148 (2016 est.) |
| Exchange rates: | 2.148 (2015 est.) |
| Exchange rates: | 1.9617 (2014 est.) |
| Exchange rates: | 1.6976 (2013 est.) |
