| Economy | Tunisia |
| GDP - composition, by end use: | government consumption: 18.4% |
| GDP - composition, by end use: | investment in fixed capital: 22.6% |
| GDP - composition, by end use: | investment in inventories: 3.5% |
| GDP - composition, by end use: | exports of goods and services: 49.2% |
| GDP - composition, by end use: | imports of goods and services: -60.1% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 8.6% |
| GDP - composition, by sector of origin: | industry: 30.4% |
| GDP - composition, by sector of origin: | services: 61% (2013 est.) |
| Agriculture - products: | olives, olive oil, grain, tomatoes, citrus fruit, sugar beets, dates, almonds; beef, dairy products |
| Industries: | petroleum, mining (particularly phosphate, iron ore), tourism, textiles, footwear, agribusiness, beverages |
| Industrial production growth rate: | 3% (2013 est.) |
| Labor force: | 3.974 million (2013 est.) |
| Labor force - by occupation: | agriculture: 18.3% |
| Labor force - by occupation: | industry: 31.9% |
| Labor force - by occupation: | services: 49.8% (2009 est.) |
| Unemployment rate: | 17.2% (2013 est.) |
| Unemployment rate: | 17.4% (2012 est.) |
| Population below poverty line: | 3.8% (2005 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.3% |
| Household income or consumption by percentage share: | highest 10%: 31.5% (2000) |
| Distribution of family income - Gini index: | 40 (2005 est.) |
| Distribution of family income - Gini index: | 41.7 (1995 est.) |
| Budget: | revenues: $12.16 billion |
| Budget: | expenditures: $15.8 billion (2013 est.) |
| Taxes and other revenues: | 25.1% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -7.5% of GDP (2013 est.) |
| Public debt: | 51.1% of GDP (2013 est.) |
| Public debt: | 46.1% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6.1% (2013 est.) |
| Inflation rate (consumer prices): | 5.6% (2012 est.) |
| Central bank discount rate: | 5.75% (31 December 2010 est.) |
| Commercial bank prime lending rate: | 7.31% (31 December 2012 est.) |
| Commercial bank prime lending rate: | 6.76% (31 December 2011 est.) |
| Stock of narrow money: | $13.08 billion (31 December 2013 est.) |
| Stock of narrow money: | $13.44 billion (31 December 2012 est.) |
| Stock of broad money: | $29.8 billion (31 December 2013 est.) |
| Stock of broad money: | $30.72 billion (31 December 2012 est.) |
| Stock of domestic credit: | $35.59 billion (31 December 2013 est.) |
| Stock of domestic credit: | $36.09 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $8.887 billion (31 December 2012 est.) |
| Market value of publicly traded shares: | $9.662 billion (31 December 2011) |
| Market value of publicly traded shares: | $10.68 billion (31 December 2010 est.) |
| Current account balance: | -$4.556 billion (2013 est.) |
| Current account balance: | -$3.773 billion (2012 est.) |
| Exports: | $17.46 billion (2013 est.) |
| Exports: | $17.07 billion (2012 est.) |
| Exports - commodities: | clothing, semi-finished goods and textiles, agricultural products, mechanical goods, phosphates and chemicals, hydrocarbons, electrical equipment |
| Exports - partners: | France 26.2%, Italy 16%, Germany 9.4%, Libya 7.6%, US 4.3% (2012) |
| Imports: | $24.95 billion (2013 est.) |
| Imports: | $23.1 billion (2012 est.) |
| Imports - commodities: | textiles, machinery and equipment, hydrocarbons, chemicals, foodstuffs |
| Imports - partners: | France 19.8%, Italy 16.7%, Germany 7.3%, China 6%, Spain 5.3%, Algeria 4.4% (2012) |
| Reserves of foreign exchange and gold: | $8.113 billion (31 December 2013 est.) |
| Reserves of foreign exchange and gold: | $8.36 billion (31 December 2012 est.) |
| Debt - external: | $26.95 billion (31 December 2013 est.) |
| Debt - external: | $24.6 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $34.64 billion (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $33.4 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $295 million (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $285 million (31 December 2012 est.) |
| Exchange rates: | Tunisian dinars (TND) per US dollar - |
| Exchange rates: | 1.638 (2013 est.) |
| Exchange rates: | 1.5619 (2012 est.) |
| Exchange rates: | 1.4314 (2010 est.) |
| Exchange rates: | 1.3503 (2009) |
| Exchange rates: | 1.211 (2008) |
