| Economy | Tunisia |
| Exports - commodities: | clothing, semi-finished goods and textiles, agricultural products, mechanical goods, phosphates and chemicals, hydrocarbons, electrical equipment |
| Exports - partners: | France 26.2%, Italy 16%, Germany 9.4%, Libya 7.6%, US 4.3% (2012) |
| Imports: | $23.1 billion (2012 est.) |
| Imports: | $22.62 billion (2011 est.) |
| Imports - commodities: | textiles, machinery and equipment, hydrocarbons, chemicals, foodstuffs |
| Imports - partners: | France 19.8%, Italy 16.7%, Germany 7.3%, China 6%, Spain 5.3%, Algeria 4.4% (2012) |
| Reserves of foreign exchange and gold: | $8.36 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $7.457 billion (31 December 2011 est.) |
| Debt - external: | $24.6 billion (31 December 2012 est.) |
| Debt - external: | $22.34 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $33.4 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $31.84 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $285 million (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $285 million (31 December 2011 est.) |
| Exchange rates: | Tunisian dinars (TND) per US dollar - |
| Exchange rates: | 1.56 (2012 est.) |
| Exchange rates: | 1.41 (2011 est.) |
| Exchange rates: | 1.43 (2010 est.) |
| Exchange rates: | 1.35 (2009) |
| Exchange rates: | 1.21 (2008) |
