| Economy | Norway |
| Budget surplus (+) or deficit (-): | 4.4% (of GDP) (2017 est.) |
| Public debt: | 36.5% of GDP (2017 est.) |
| Public debt: | 36.4% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data exclude treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 1.9% (2017 est.) |
| Inflation rate (consumer prices): | 3.6% (2016 est.) |
| Central bank discount rate: | 6.25% (31 December 2010) |
| Central bank discount rate: | 1.75% (31 December 2009) |
| Commercial bank prime lending rate: | 2.89% (31 December 2017 est.) |
| Commercial bank prime lending rate: | 2.96% (31 December 2016 est.) |
| Stock of narrow money: | $237.7 billion (31 December 2017 est.) |
| Stock of narrow money: | $214 billion (31 December 2016 est.) |
| Stock of broad money: | $237.7 billion (31 December 2017 est.) |
| Stock of broad money: | $214 billion (31 December 2016 est.) |
| Stock of domestic credit: | $640.4 billion (31 December 2017 est.) |
| Stock of domestic credit: | $571.4 billion (31 December 2016 est.) |
| Market value of publicly traded shares: | $193.9 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $219.4 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $265.4 billion (31 December 2013 est.) |
| Current account balance: | $22.01 billion (2017 est.) |
| Current account balance: | $14.09 billion (2016 est.) |
| Exports: | $102.8 billion (2017 est.) |
| Exports: | $88.88 billion (2016 est.) |
| Exports - partners: | UK 21.1%, Germany 15.5%, Netherlands 9.9%, Sweden 6.6%, France 6.4%, Belgium 4.8%, Denmark 4.7%, US 4.6% (2017) |
| Exports - commodities: | petroleum and petroleum products, machinery and equipment, metals, chemicals, ships, fish |
| Imports: | $95.06 billion (2017 est.) |
| Imports: | $74.94 billion (2016 est.) |
| Imports - commodities: | machinery and equipment, chemicals, metals, foodstuffs |
| Imports - partners: | Sweden 11.4%, Germany 11%, China 9.8%, US 6.8%, South Korea 6.7%, Denmark 5.4%, UK 4.7% (2017) |
| Reserves of foreign exchange and gold: | $65.92 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $57.46 billion (31 December 2015 est.) |
| Debt - external: | $642.3 billion (31 March 2016 est.) |
| Debt - external: | $640.1 billion (31 March 2015 est.) |
| Debt - external: | note: Norway is a net external creditor |
| Stock of direct foreign investment - at home: | $236.5 billion (31 December 2017 est.) |
| Stock of direct foreign investment - at home: | $219.1 billion (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $196.3 billion (31 December 2017 est.) |
| Stock of direct foreign investment - abroad: | $191.7 billion (31 December 2016 est.) |
| Exchange rates: | Norwegian kroner (NOK) per US dollar - |
| Exchange rates: | 8.308 (2017 est.) |
| Exchange rates: | 8.3978 (2016 est.) |
| Exchange rates: | 8.3978 (2015 est.) |
| Exchange rates: | 8.0646 (2014 est.) |
| Exchange rates: | 6.3021 (2013 est.) |
