| Economy | Norway |
| Household income or consumption by percentage share: | highest 10%: 21.2% (2014) |
| Budget: | revenues: 217.1 billion (2017 est.) |
| Budget: | expenditures: 199.5 billion (2017 est.) |
| Taxes and other revenues: | 54.4% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | 4.4% (of GDP) (2017 est.) |
| Public debt: | 36.5% of GDP (2017 est.) |
| Public debt: | 36.4% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data exclude treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Current account balance: | $16.656 billion (2019 est.) |
| Current account balance: | $31.111 billion (2018 est.) |
| Exports: | $185.101 billion (2019 est.) |
| Exports: | $184.094 billion (2018 est.) |
| Exports: | $185.952 billion (2017 est.) |
| Exports - partners: | UK 21.1%, Germany 15.5%, Netherlands 9.9%, Sweden 6.6%, France 6.4%, Belgium 4.8%, Denmark 4.7%, US 4.6% (2017) |
| Exports - commodities: | petroleum and petroleum products, machinery and equipment, metals, chemicals, ships, fish |
| Imports: | $158.037 billion (2019 est.) |
| Imports: | $150.972 billion (2018 est.) |
| Imports: | $148.802 billion (2017 est.) |
| Imports - commodities: | machinery and equipment, chemicals, metals, foodstuffs |
| Imports - partners: | Sweden 11.4%, Germany 11%, China 9.8%, US 6.8%, South Korea 6.7%, Denmark 5.4%, UK 4.7% (2017) |
| Reserves of foreign exchange and gold: | $65.92 billion (31 December 2017 est.) |
| Reserves of foreign exchange and gold: | $57.46 billion (31 December 2015 est.) |
| Debt - external: | $642.3 billion (31 March 2016 est.) |
| Debt - external: | $640.1 billion (31 March 2015 est.) |
| Debt - external: | note: Norway is a net external creditor |
| Exchange rates: | Norwegian kroner (NOK) per US dollar - |
| Exchange rates: | 8.81535 (2020 est.) |
| Exchange rates: | 9.14245 (2019 est.) |
| Exchange rates: | 8.4837 (2018 est.) |
| Exchange rates: | 8.0646 (2014 est.) |
| Exchange rates: | 6.3021 (2013 est.) |
