| Economy | Norway |
| Imports: | $89.05 billion (2012 est.) |
| Imports: | $92.05 billion (2011 est.) |
| Imports - commodities: | machinery and equipment, chemicals, metals, foodstuffs |
| Imports - partners: | Sweden 13.6%, Germany 12.4%, China 9.3%, Denmark 6.3%, UK 6.1%, US 5.4% (2012) |
| Reserves of foreign exchange and gold: | $51.86 billion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $49.4 billion (31 December 2011 est.) |
| Debt - external: | $659.1 billion (31 December 2012) |
| Debt - external: | $595.7 billion (31 December 2011) |
| Debt - external: | note: Norway is a net external creditor |
| Stock of direct foreign investment - at home: | $256.8 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $236.5 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $241.3 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $210.6 billion (31 December 2011 est.) |
| Exchange rates: | Norwegian kroner (NOK) per US dollar - |
| Exchange rates: | 5.82 (2012 est.) |
| Exchange rates: | 5.61 (2011 est.) |
| Exchange rates: | 6.04 (2010 est.) |
| Exchange rates: | 6.29 (2009) |
| Exchange rates: | 5.64 (2008) |
