| Economy | NORWAY |
| Reserves of foreign exchange and gold: | $64.8 billion (31 December 2014 est.) |
| Debt - external: | $661.2 billion (31 December 2014 est.) |
| Debt - external: | $730.1 billion (31 December 2013 est.) |
| Debt - external: | note: Norway is a net external creditor |
| Stock of direct foreign investment - at home: | $201.1 billion (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $225.9 billion (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $192.2 billion (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $229.5 billion (31 December 2014 est.) |
| Exchange rates: | Norwegian kroner (NOK) per US dollar - |
| Exchange rates: | 8.0646 (2015 est.) |
| Exchange rates: | 6.3021 (2014 est.) |
| Exchange rates: | 6.3021 (2013 est.) |
| Exchange rates: | 5.82 (2012 est.) |
| Exchange rates: | 5.6065 (2011 est.) |
