| Economy | China |
| Exports - commodities: | electrical and other machinery, including data processing equipment, apparel, textiles, iron and steel, optical and medical equipment |
| Exports - partners: | US 17.1%, Hong Kong 14.1%, Japan 7.8%, South Korea 4.4%, Germany 4% (2011) |
| Imports: | $1.78 trillion (2012 est.) |
| Imports: | $1.74 trillion (2011 est.) |
| Imports - commodities: | electrical and other machinery, oil and mineral fuels, optical and medical equipment, metal ores, plastics, organic chemicals |
| Imports - partners: | Japan 11.2%, South Korea 9.3%, US 6.8%, Germany 5.3%, Australia 4.6% (2011) |
| Reserves of foreign exchange and gold: | $3.549 trillion (31 December 2012 est.) |
| Reserves of foreign exchange and gold: | $3.213 trillion (31 December 2011 est.) |
| Debt - external: | $710.7 billion (31 December 2012 est.) |
| Debt - external: | $656.3 billion (31 December 2011 est.) |
| Stock of direct foreign investment - at home: | $909.8 billion (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $711.8 billion (31 December 2011 est.) |
| Stock of direct foreign investment - abroad: | $465 billion (31 December 2012 est.) |
| Stock of direct foreign investment - abroad: | $364 billion (31 December 2011 est.) |
| Exchange rates: | Renminbi yuan (RMB) per US dollar - |
| Exchange rates: | 6.311 (2012 est.) |
| Exchange rates: | 6.4615 (2011 est.) |
| Exchange rates: | 6.7703 (2010 est.) |
| Exchange rates: | 6.8314 (2009) |
| Exchange rates: | 6.9385 (2008) |
| Fiscal year: | calendar year |
