| Economy | BANGLADESH |
| Stock of domestic credit: | $99.59 billion (31 December 2014 est.) |
| Stock of domestic credit: | $89.32 billion (31 December 2013 est.) |
| Market value of publicly traded shares: | $41.73 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $17.48 billion (31 December 2012) |
| Market value of publicly traded shares: | $23.55 billion (31 December 2011 est.) |
| Current account balance: | -$132 million (2014 est.) |
| Current account balance: | $2.366 billion (2013 est.) |
| Exports: | $31.2 billion (2014 est.) |
| Exports: | $28.62 billion (2013 est.) |
| Exports - commodities: | garments, knitwear, agricultural products, frozen food (fish and seafood), jute and jute goods, leather |
| Exports - partners: | US 14.3%, Germany 13.6%, UK 7.9%, France 5.2%, Spain 4.3%, Italy 4.1% (2014) |
| Imports: | $38.5 billion (2014 est.) |
| Imports: | $35 billion (2013 est.) |
| Imports - commodities: | cotton, machinery and equipment, chemicals, iron and steel, foodstuffs |
| Imports - partners: | China 18.8%, India 14.8%, Singapore 5.8%, Malaysia 4.2% (2014) |
| Reserves of foreign exchange and gold: | $21.46 billion (31 December 2014 est.) |
| Reserves of foreign exchange and gold: | $18.09 billion (31 December 2013 est.) |
| Debt - external: | $33.2 billion (30 June 2014 est.) |
| Debt - external: | $28.26 billion (30 June 2013 est.) |
| Stock of direct foreign investment - at home: | $8.625 billion (30 June 2014 est.) |
| Stock of direct foreign investment - at home: | $8.593 billion (31 December 2013 est.) |
| Stock of direct foreign investment - abroad: | $166.9 million (31 December 2014 est.) |
| Stock of direct foreign investment - abroad: | $162.9 million (31 December 2013 est.) |
| Exchange rates: | taka (BDT) per US dollar - |
| Exchange rates: | 77.57 (2014 est.) |
| Exchange rates: | 78.103 (2013 est.) |
| Exchange rates: | 81.86 (2012 est.) |
| Exchange rates: | 74.152 (2011 est.) |
| Exchange rates: | 69.649 (2010 est.) |
